"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Power","DQ Score"
"447353","6th Avenue Cocktail Drinks Bar Set Stainless Steel","6th Avenue","Cocktail Set","1","22cm x 9cm x 9cm","Silver","N/A",1
"447440","Viners Cutlery Set 16 Piece + 4 Steak Knives","Viners","Cutlery Sets","20 pieces","20 piece","Silver",NA,1
"316142","Wilko Shot Glasses 6pk","Wilko","Shot Glasses","6pk","Small","Clear",NA,1
"230341","Wilko Functional Wine Glasses 4pk","Wilko Functional","Wine Glasses","1","4 Pack","Clear",NA,1
"239391","Wilko Functional Hi-ball Glasses 4pk","Wilko Functional","Tumblers","1","4 Pack","Clear",NA,1
