"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","DQ Score"
"443820","Quest Electric Teppanyaki Grill 2000W","Quest","Grills",NA,"2000w",NA,"35491",0.883333333333333
"457102","Quest Deep Fill Sandwich Maker","Quest","Sandwich Maker",NA,"900w",NA,"35630",0.883333333333333
"292725","Russell Hobbs Sandwich Toaster","Russell Hobbs","Sandwich Maker","Black","Mains",NA,"17936",0.941666666666667
"439574","Tower Cerastone Ceramic Raclette T14016","Tower","Grills","Grey",NA,NA,"T14016",0.883333333333333
"439589","Tower 3in1 Sandwich Toaster T27008","Tower","Grills","Grey","750w",NA,"T27008",0.941666666666667
"439590","Ceramic Health Grill & Griddle T27009","Tower","Grills","White","1000w",NA,"T27009",0.891666666666667
"439591","Tower 4 Slice Stainless Steel Sandwich MakerT27010","Tower","Sandwich Maker","Metal",NA,"4 Slice","T27010",0.941666666666667
"448425","Tower Cerastone Reversible Grill T14019","Tower","Grills","Black","1600W",NA,"T14019",0.891666666666667
"448458","Tower Digital Panini Grill T27007","Tower","Grills","Silver","1800W",NA,"T27007",0.941666666666667
"448459","Tower Health Grill T27011","Tower","Grills","Silver","2000W",NA,"T27011",0.941666666666667
"414221","Wilko Health Grill","Wilko","Grills",NA,NA,NA,NA,0.766666666666667
"434826","Wilko Panini Maker","Wilko","Grills",NA,"900, 1080W",NA,"S-6155",0.883333333333333
