"Article","Web Description","Brand","Type","Size","DQ Score"
"199744","Kingfisher Gardening Micro Irrigation Kit","Kingfisher","Irrigation System","20m",1
"304228","Wilko Garden Hose Heavy Duty 15m","Wilko","Hosepipes","15m",1
"310567","Wilko Sprayer Trigger Teal/Green 550ml","Wilko","Spray Guns","550ml",1
"447642","Wilko Hose Carrier","Wilko","Hosepipe Carrier","40.5 x 20 x 2.5cm",1
"7193240","Wilko Functional Trigger Sprayer 960ml","Wilko","Spray Guns","960ml",1
