"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Size","Model Number","DQ Score"
"34269","Listerine Mouthwash Original 500ml","Listerine","Mouthwash",NA,NA,"1",NA,"500ml",NA,0.93
"447284","Oral B Power Handle ToothbrushPro 650 Cross Action","Oral B","Electric Toothbrush Gift Sets",NA,NA,NA,NA,NA,NA,0.716666666666667
