"Article","Web Description","DQ Score"
"453501","Nice'n Easy Colour Enhancer Beige Blonde 70",0.69
"453502","Nice'n Easy Colour Enhancer Light Ash Brown 75",0.69
"453503","Nice'n Easy Colour Enhancer Dark Brown 79",0.69
"453504","Nice'n Easy Colour Enhancer Medium Brown 765",0.69
"453505","Nice'n Easy Colour Enhancer Medium Golden Brown 78",0.69
"453506","Nice'n Easy Colour Enhancer Medium Ash Brown 77",0.69
"453507","Nice'n Easy Colour Enhancer Medium Ash Blonde 73",0.69
"456257","Garnier Olia 9.3 Golden Light Blonde PermanentHair Dye",0.81
"456258","Garnier Nutrisse 1 Black Permanent Hair Dye",0.81
"456259","Garnier Nutrisse 7N Nude Dark Blonde PermanentHair Dye",0.81
"456266","Garnier Olia 60 Intense Red Permanent Hair Dye",0.81
"456280","Garnier Nutrisse 7.3 Golden Copper Permanent HairDye",0.81
"442212","Jerome Russell Maximum Colour Toner Silver",0.81
"456416","Jerome Russell Lilac Max Colour Toner",0.81
"331657","L'Oreal Casting Creme Gloss 554 Chilli ChocolateBrown Semi Permanent Hair Dye",0.88
"331748","L'Oreal Preference Platinum Extreme PlatinumBlonde Permanent Hair Dye",0.88
"456251","L'Oreal Casting Creme Gloss 356 Cherry Cola DarkBrown Semi Permanent Hair Dye",0.81
"456252","L'Oreal Casting Creme Gloss 700 Dark Blonde SemiPermanent Hair Dye",0.81
"456253","L'Oreal Magic Retouch Golden Brown Root Touch Up",0.6
"456264","L'Oreal Excellence Creme 5.3 Golden BrownPermanent Hair Dye",0.81
"456265","L'Oreal Excellence Creme 3 Natural Darkest BrownPermanent Hair Dye",0.81
"457106","Live Ultra Bright Aqua Collection 111",0.76
"457107","Live Ult Bright Sunburst Collection 110",0.76
"457108","Schwarzkopf Live Pastel It 200ml",0.81
