"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Assembly","Material","DQ Score"
"140875","Nice地 Easy Semi-Permanent Medium Ash Brown 77","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"140877","Nice'n Easy Semi-Permanent Dark Blonde 91","Clairol","Semi-Permanent","Blonde","1",NA,NA,NA,NA,0.88
"140879","Nice'n Easy Semi-Permanent Light Brown 755","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"140882","Nice'n Easy Semi-Permanent Light Golden Brown 76","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"140883","Nice'n Easy Semi-Permanent Medium Brown 765","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"140884","Nice'n Easy Semi-Permanent Dark Brown 79","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"140978","Nice地 Easy Semi-Permanent Medium GoldenBrown 78","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"213919","Nice'n Easy Permanent Hair Dye Natural Light BeigeBlonde 9B","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"213925","Nice'n Easy Permanent Natural Light Golden Brown 6Brown 6G","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"213930","Nice'n Easy Permanent Natural LightestGold Brown 6.5G","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"213934","Nice'n Easy Permanent Natural DarkChampagne Blonde 7CB","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"213936","Nice'n Easy Permanent Natural MediumReddish Brown 5RB","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"213937","Nice'n Easy Permanent Natural Dark Blonde 7","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214028","Nice'n Easy Permanent Natural Ultra LightBlonde 10","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214033","Nice'n Easy Permanent Natural Extra LightBeige Blonde 9.5B","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214037","Nice'n Easy Permanent Natural Extra Light 9.5","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214039","Nice'n Easy Permanent Natural Medium CoolBrown 5C","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"214045","Nice'n Easy Permanent Natural Baby Blonde 9.5A","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214050","Nice'n Easy Permanent Natural Light Ash Blonde 9A","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214052","Nice'n Easy Permanent Natural Honey Blonde 8G","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214055","Nice'n Easy Permanent Natural Medium Ash Blonde 8A","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214057","Nice'n Easy Permanent Natural LightNeutral Summer Blonde SB1","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"214058","Nice'n Easy Permanent Hair Dye Natural Light AshBrown 6A","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"214061","Nice'n Easy Permanent Natural Light Brown 6","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"214064","Nice'n Easy Permanent Natural Medium Brown 5","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"214065","Nice'n Easy Permanent Natural Dark Brown 4","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"214066","Nice'n Easy Permanent Natural Black 112","Clairol","Permanent","Black","1",NA,NA,NA,NA,0.88
"240153","Nice'n Easy Permanent Natural MediumChampagne Blonde 8CB","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"240154","Nice'n Easy Permanent Natural MediumGolden Brown 5G","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"240156","Nice'n Easy Permanent Natural GoldenAuburn Blonde 8WR","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"240158","Nice'n Easy Non-Permanent Hair Dye No-Ammonia DarkWarm Brown #82","Clairol","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"240160","Nice地 Easy Non-Permanent Medium Ash Blonde 73","Clairol","Semi-Permanent","Blonde","1",NA,NA,NA,NA,0.88
"243323","Nice'n Easy Root Touch-Up Dark Blonde 7","Clairol","Highlights","Blonde","1",NA,NA,NA,NA,0.88
"243324","Nice'n Easy Root Touch-Up Dark Brown 4","Clairol","Highlights","Brown","1",NA,NA,NA,NA,0.88
"243325","Nice'n Easy Root Touch-Up Medium Brown 5","Clairol","Highlights","Brown","1",NA,NA,NA,NA,0.88
"250367","Nice'n Easy Natural Medium Blonde 8","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"269845","Nice'n Easy Permanent Natural Pale Blonde 9PB","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"269846","Nice'n Easy Permanent Natural Warm Auburn 5WR","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"281562","Nice'n Easy Permanent Natural Darkest Brown 3.5","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"281563","Nice'n Easy Permanent Natural Lighter Brown 6N","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"281564","Nice'n Easy Permanent Natural MediumMahogany Brown 5M","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"281572","Nice地 Easy Non-Permanent Black 83","Clairol","Semi-Permanent","Black","1",NA,NA,NA,NA,0.88
"316906","Nice'n Easy Permanent Natural Medium AshBrown 5A","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"316910","Nice'n Easy Permanent Natural Light Auburn 6R","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"330390","Nice'n Easy Permanent Hair Dye Ultra Light AshBlonde 10A","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"330391","Nice'n Easy Sun Kissed Ultra Light CoolSummer Blonde SB2","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"347454","Nice'n Easy Age Defy Dark Brown 4","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"347455","Nice'n Easy Age Defy Medium Brown 5","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"347456","Nice'n Easy Age Defy Medium Ash Blonde 8A","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"347457","Nice'n Easy Age Defy Light Brown 6","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"348919","Nice'n Easy Age Defy Permanent Light Golden Brown6G","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"348921","Nice'n Easy Age Defy Medium Golden Brown 5G","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"351445","Nice'n Easy Permanent Natural LightGolden Blonde 9G","Clairol","Permanent",NA,"1","9g",NA,NA,NA,0.88
"351446","Nice'n Easy Non Permanent Light Warm Brown 92","Clairol","Permanent","Brown","1",NA,NA,NA,NA,0.88
"416195","Nice'n Easy Age Defy Permanent Extra Light Blonde10","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
