"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"157773","Wilko Rubber Coir Doormat 70 x 40cm","Wilko","Mats","Multi","40x70cm",1
"204651","Wilko Rubber Scraper Mat 40 x 60cm","Wilko","Mats","Black","40x60cm",1
"267049","Wilko Coir Mat Stripe Design 40 x 60cm","Wilko","Mats","Multi","40x60cm",1
"297603","Wilko Washable Mat  Assorted 40 x 60cm","Wilko","Mats","Multi","40x60cm",1
"304577","Wilko Washable Mat Assorted 50 x 80cm","Wilko","Mats","Multi","50x80cm",1
"334029","Wilko Washable Door Mat Assorted Designs57 x 90cm","Wilko","Mats","Multi","57cmx90cm",1
"334031","Wilko Washable Mat Beige Large 57 x 90cm","Wilko","Mats","Brown","57cmx90cm",1
"334032","Wilko Washable Mat Grey 40 x 60cm","Wilko","Mats","Grey","40x60cm",1
"334036","Wilko Mat Chequered Design 40 x 60cm","Wilko","Mats","Multi","40cmx60cm",1
"1484240","Wilko Functional Indoor Mat Ribbed Assorted40 x 60cm","Wilko Functional","Mats","Brown","60x40cm",1
