"Article","Web Description","Brand","Type","Colour","Washable","Size","Material","DQ Score"
"439175","Mighty Mat Stripe Mat","Mighty Mat","Mats",NA,NA,"40cm x 60cm","Polypropylene",0.883333333333333
"439177","Mighty Mat Eco Printed Mat Large","Mighty Mat","Mats",NA,NA,"50cm x 75cm","Nylon",0.883333333333333
"191827","Wilko Half Moon Door Mat Assorted 60 x 40cm","Wilko","Mats",NA,"Do Not Wash","60x40cm","Polypropylene, Rubber",0.941666666666667
"204644","Wilko Mat Rubber Backed 60 x 90cm","Wilko","Mats",NA,"Do Not Wash","90x60cm","Polypropylene, Rubber",0.941666666666667
"22351","Wilko Entrance Runner Mat Assorted","Wilko","Runners",NA,"Do Not Wash","61x180cm","Polyester, Latex",0.941666666666667
"428350","Wilko Rubber Scraper Mat","Wilko","Mats",NA,NA,"45x75cm",NA,0.825
"428351","Wilko Stripe Loop Runner","Wilko","Mats",NA,NA,"57x150cm",NA,0.825
"428352","Wilko Ribbed Scraper Mat","Wilko","Mats",NA,NA,"40x70cm",NA,0.825
"428353","Wilko Loop  Mat Heart Design","Wilko","Mats",NA,NA,"44x75cm",NA,0.825
"428354","Wilko Stripe Loop Mat","Wilko","Mats",NA,NA,NA,NA,0.766666666666667
"428355","Mighty Mat Striped Mat","Wilko","Mats",NA,NA,"60x90cm",NA,0.775
"439180","Wilko All Seasons Rubber Coir Mat","Wilko","Mats",NA,NA,"60cm x 90cm","Coir",0.883333333333333
"439181","Wilko Designer Coir Mat","Wilko","Mats",NA,NA,"40cm x 60cm","Coir",0.883333333333333
"439185","Wilko Wire Scraper Doormat","Wilko","Mats",NA,NA,"40cm x 60cm","Coir",0.883333333333333
"439186","Wilko Printed Designer Doormat","Wilko","Mats",NA,NA,"40cm x 70cm","Nylon",0.883333333333333
