"Article","Web Description","Brand","Capacity","Type","Pack Qty","Size","DQ Score"
"407111","ibrew Wine Pinot Grigio Wine Making KitMakes 15 Bottles","ibrew","15 bottle","Wine Refill Pack","1",NA,0.93
"428802","ibrew Chardonnay Wine Making KitMakes 15 Bottles","ibrew","16 Bottle","Wine Refill Pack","1",NA,0.93
"ib00004","ibrew Wine Starter Kit Cabernet Sauvignon","ibrew",NA,"Wine Starter Kits","1",NA,0.86
"ib00006","ibrew Wine Starter Kit Pinot Grigio","ibrew",NA,"Wine Starter Kits","1",NA,0.86
"ib00007","ibrew Wine Starter Kit Merlot Packed","ibrew",NA,"Wine Starter Kits","1",NA,0.86
"ib00012","ibrew Wine Merlot 15 Bottle Kit Single","ibrew","15 Bottles","Wine Refill Pack","1",NA,0.93
"ib00016","ibrew Wine Shiraz Blush 15 Bottle refil pack","ibrew","15 Bottles","Wine Refill Pack","1",NA,0.93
"ib00024","i-brew Chardonnay Wine System","ibrew",NA,"Wine Starter Kits","1",NA,0.81
"453141","Muntons Premium Cellar Red Wine Kit 6.8kg","Muntons",NA,"Red Wine Making Kits","1","6.8kg",0.93
"453142","Muntons Premium Cellar White Wine Kit 6.8kg","Muntons",NA,"White Wine Making Kits","1","6.8kg",0.93
"22679","Wilko Chardonnay Wine Making KitMakes 6 Bottles","Wilko",NA,"White Wine Making Kits","6pcs","6 Bottles",0.93
"22741","Wilko Cabernet Sauvignon Wine Making KitMakes 6 Bottles","Wilko",NA,"Red Wine Making Kits","6pcs","900g",0.93
"22743","Wilko Elderflower Wine Making KitMakes 6 Bottles","Wilko",NA,"White Wine Making Kits","6pcs","900g",0.93
"22748","Wilko Country Wine Kit Black Cherry 6 Bottle","Wilko",NA,"Fruit Wine Making Kits","6pcs","900g",0.93
"323176","Wilko Rose Wine Making KitMakes 6 Bottles","Wilko",NA,"Rose Wine Making Kits","6pcs","6 Bottles",0.93
"67533","Wilko White Grape Concentrate 220g","Wilko",NA,"Grape Concentrate","1","220g",0.93
"67534","Wilko Red Grape Concentrate 220g","Wilko",NA,"Grape Concentrate","1","220g",0.93
