"Article","Web Description","Brand","Type","Size","DQ Score"
"338572","Cuprinol Less Mess Shed Fence Autumn Red 5L","Cuprinol","Shed and Fence Paint","5L",1
"125818","Wilko Timbercare Woodland Green 5L","Wilko","Shed and Fence Paint","5L",1
"278710","Wilko Light Creocote 4L","Wilko","Creocote","4L",1
"315025","Wilko Gloss Quick Dry Ultra Tough Varnish Mahogany750ml","Wilko","Gloss Varnish","750ml",1
"315028","Wilko Gloss Quick Dry Ultra Tough Varnish AntiquePine250ml","Wilko","Gloss Varnish","250ml",1
"315031","Wilko Gloss Quick Dry Ultra Tough Varnish Mahogany250ml","Wilko","Gloss Varnish","250ml",1
"74038","Wilko Timbercare Country Brown 5L","Wilko","Shed and Fence Paint","5L",1
"74039","Wilko Timbercare Red Cedar 5L","Wilko","Shed and Fence Paint","5L",1
"74040","Wilko Timbercare Dark Oak 5L","Wilko","Shed and Fence Paint","5L",1
