"Article","Web Description","Brand","Type","DQ Score"
"427861","Wilko Room Spray Warm Vanilla Pod","Wilko","Room Spray",1
"427863","Wilko Insense Oil Fragrance Warm Vanilla Pod","Wilko","Insense Oil",1
