"Article","Web Description","Brand","Type","Colour","Size","Assembly","DQ Score"
"445498","Wilko Reservior Balls 16 Balls","Wilko","Reservoir Balls",NA,NA,"No",0.86
"447645","Wilko Hanging Basket Reservoir","Wilko","Basket Reservoir",NA,"13.8X13.8X17cm","No",0.93
