"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Power","Capacity","Coverage","DQ Score"
"218366","Energizer Cell Lithium Battery CR2016 3V 2pk","Energizer","3v",NA,"2pk",NA,"CR2016",NA,"3V",NA,NA,1
"218367","Energizer Cell Lithium Battery CR2025 3V 2pk","Energizer","3v",NA,"2pk",NA,"CR2025",NA,"3V",NA,NA,1
"218368","Energizer Cell Lithium Battery CR2032 3V 2pk","Energizer","3v",NA,"2pk",NA,"CR2032",NA,"3V",NA,NA,1
"277654","Energizer NiHM Rechargeable Batteries D 2500mAh1.2V 2pk","Energizer","D",NA,"2pk",NA,"D",NA,"1.2V",NA,NA,1
"277655","Energizer NiMH Rechargeable Batteries C 2500mAh1.2V 2pk","Energizer","C",NA,"2pk",NA,"C",NA,"1.2V",NA,NA,1
"277656","Energizer NiMH Rechargeable Batteries AAA 700mAh1.2V 4pk","Energizer","AAA",NA,"4pk",NA,"AAA",NA,"1.2V",NA,NA,1
"277657","Energizer NiMH Rechargable Batteries AAA 500mAh1.2V 4pk","Energizer","AAA",NA,"4pk",NA,"AAA",NA,"1.2V",NA,NA,1
"277658","Energizer NiMH Rechargable Batteries AA 2300mAh1.2V 4pk","Energizer","AA",NA,"4pk",NA,"AA",NA,"1.2V",NA,NA,1
"277659","Energizer NiMH Rechargeable Batteries AA 2000mAH1.2V 4pk","Energizer","AA",NA,"4pk",NA,"AA",NA,"1.2V",NA,NA,1
"277660","Energizer Battery NiMH Rechargeable AA 1300mAh1.2V 4pk","Energizer","AA",NA,"4pk",NA,"AA",NA,"1.2V",NA,NA,1
"281784","Energizer Hearing Aid Batteries PR41 312 1.4V 8pk","Energizer","Hearing Aid Batteries",NA,"8pk",NA,"312",NA,"1.4V",NA,NA,1
"281785","Energizer Hearing Aid Batteries 13 1.4V 8pk","Energizer","Hearing Aid Batteries",NA,"8pk",NA,"13",NA,"1.4V",NA,NA,1
"298407","Energizer Battery Charger 2000mAh with BatteriesAA 1.5V 4pk","Energizer","Battery Charger",NA,"4",NA,"AA",NA,"Mains",NA,NA,1
"5190940","Eveready Silver Zinc Battery PP9 9V Single","Eveready","9v",NA,"1",NA,"PP9B",NA,"9V",NA,NA,1
"32975","Imperial Leather Original Talcum Powder 300g","Imperial Leather","Talc",NA,"1",NA,"300g",NA,NA,NA,NA,1
"278680","Nivea Creme Soft Care Soap 2 x 100g","Nivea","Soap",NA,"1",NA,"2x100g",NA,NA,NA,NA,1
"224601","Original Source  Lime Shower 250ml","Original Source","Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"189975","Palmolive Naturals Nourishing With Milk and HoneyHand Wash 300ml","Palmolive","Hand Wash",NA,"1",NA,"300ml",NA,NA,NA,NA,1
"207708","Palmolive Hand Wash Aquarium","Palmolive","Hand Wash",NA,"1",NA,"300ml",NA,NA,NA,NA,1
"207711","Palmolive Shower Gel Milk Honey 250ml","Palmolive","Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"315936","Palmolive Shower Gel Coconut 250ml","Palmolive","Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"449844","Palmolive Body Butter Shower Cream 250mlMint Shake","Palmolive","Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"228459","Radox Feel Good Fragrance Muscle Soak Bath Soak500ml","Radox","Bubble Bath, Creams and Oils",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"228463","Radox Feel Good Fragrance Relax Bath Soak 500ml","Radox","Bubble Bath, Creams and Oils",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"232263","Radox Feel Awake for Men 2in1 Shower Gel 250ml","Radox","Male Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"232267","Radox Feel Pampered Shower Cream 250ml","Radox","Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"321208","Radox Bath Therapy Nourish Shea Butter and Ginger500ml","Radox","Bubble Bath, Creams and Oils",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"332701","Radox Feel Good Fragrance Muscle Therapy Bath Soak500ml","Radox","Bubble Bath, Creams and Oils",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"332706","Radox Feel Energised Shower Gel 250ml","Radox","Shower Gel and Body Wash",NA,"1",NA,"250ml",NA,NA,NA,NA,1
"276689","Sanex Shower Gel Dermo Sensitive 500ml","Sanex","Shower Gel and Body Wash",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"443328","Sanex Dermo Moisturising Bath Foam 500mlNormal to Dry Skin","Sanex","Bubble Bath, Creams and Oils",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"47387","Simple Pure Soap for Sensitive Skin 2 x 125g","Simple","Soap",NA,"1",NA,"2 X 125g",NA,NA,NA,NA,1
"143635","Wilko Extra Life Alkaline Batteries D 1.5V 2pk","Wilko","D",NA,"2pk",NA,"D",NA,"1.5V",NA,NA,1
"143636","Wilko Extra Life Alkaline Batteries C 1.5V 2pk","Wilko","C",NA,"2pk",NA,"C",NA,"1.5V",NA,NA,1
"143639","Wilko Extra Life Alkaline Batteries AA 1.5V 4pk","Wilko","AA",NA,"4pk",NA,"AA",NA,"1.5V Non-rechargeable",NA,NA,1
