"Article","Web Description","Brand","Type","Colour","Size","Material","DQ Score"
"188878","Wilko Storage Unit 4 Drawer Assorted","Wilko","Storage Drawers","Multi","4 Drawer","Plastic",1
"188879","Wilko Storage Unit 3 Drawer Assorted","Wilko","Storage Drawers","Multi","39x39x59cm","Plastic",1
"196939","Wilko Storage Unit 3 Drawer Odyssey","Wilko","Storage Drawers","Black","3 Drawer","Plastic",1
"202200","Wilko Handy Baskets Large Assorted 37cm 2pk","Wilko","Baskets","Multi","Large 37cm","Polypropylene",1
"202201","Wilko Handy Baskets Medium Assorted 3pk","Wilko","Baskets","Multi","Medium 30cm","Polypropylene",1
"202202","Wilko Handy Baskets Small Assorted 5pk","Wilko","Baskets","Multi","Small 25cm","Polypropylene",1
"222518","Wilko Stacking Baskets Silver 3pk","Wilko","Baskets","Silver","3 Pack","Plastic",1
"82073","Wilko Fold Flat Box 32L","Wilko","Baskets","Multi","47.5x35x23.6cm","Plastic",1
