"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Power","DQ Score"
"CLE","AIR","178606","Air Wick Plug In Refill Air FreshenerCrisp Linen and Lilac","Air Wick","Refills",NA,"17ml",NA,NA,0.86
"CLE","AIR","182755","Air Wick Air Freshener Electric Refill Lavender17ml","Air Wick","Refills",NA,"21ml",NA,NA,0.86
"CLE","AIR","237316","Air Wick Freshmatic Colours of Nature RefillWhite Vanilla Bean 250ml","Air Wick","Refills",NA,"250ml",NA,NA,0.9125
"CLE","AIR","244594","Air Wick Freshmatic Max Refill Touch of LuxuryCrisp Linen and Lilac 250ml","Air Wick","Refills",NA,"250ml",NA,NA,0.9125
"CLE","AIR","293403","Air Wick Plug Refill Vanilla Bean","Air Wick","Refills","1","17ml",NA,NA,0.93
"CLE","AIR","333110","Air Wick Electrical Plug In Twin Refill AirFreshener Crisp Linen & Lilac","Air Wick","Refills","1","2x17ml",NA,NA,0.93
"CLE","AIR","333111","Air Wick Electric Air Freshener Twin Refill PurpleLavender","Air Wick","Refills","1","2x17ml",NA,NA,0.93
"CLE","AIR","346442","Air Wick Freshmatic Max Automatic Spray GadgetWhite","Air Wick","Units","1",NA,NA,NA,0.9125
"CLE","AIR","346443","Air Wick Freshmatic Max Air Freshener Gadget Stone","Air Wick","Units","1",NA,NA,NA,0.9125
"CLE","AIR","403509","Air Wick Candle White Vanilla Bean","Air Wick","Branded Candles","1",NA,"Multi",NA,0.93
"CLE","AIR","420419","Air wick Wax Melt Complete Mulled Wine By The Fire","Air Wick","Wax Melts Holder","1",NA,NA,NA,0.86
"CLE","AIR","420421","Air Wick Wax Melt Refill Mulled Wine by the Fire6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","420422","Air Wick Life Scents Wax Melts Refill SummerDelights 6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","420424","Air Wick Life Scents Wax Melts Refill TurquoiseOasis 6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","420426","Air Wick Pure Air Freshener Mulled Wine 250ml","Air Wick","Room Sprays","1",NA,NA,NA,0.9125
"CLE","AIR","420427","Air Wick Pure Air Freshener Spray Cherry Blossom250ml","Air Wick","Room Sprays","1",NA,NA,NA,0.9125
"CLE","AIR","426233","Air Wick Freshmatic Twin Refill Mulled Wine 500ml","Air Wick","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","429179","Air Wick Candle Pink Sweet Pea","Air Wick","Branded Candles","1","105g",NA,NA,0.93
"CLE","AIR","429208","Air Wick Electric Plug Single Unit","Air Wick","Units","1","50g",NA,NA,0.93
"CLE","AIR","429221","Air Wick Electric Single Refill Pink Sweet Pea","Air Wick","Refills","1","17ml",NA,NA,0.93
"CLE","AIR","429226","Air Wick Electric Twin Refill Pink Sweet Pea","Air Wick","Refills","2","17ml",NA,NA,0.93
"CLE","AIR","429228","Air Wick Life Scents Wax Melts Refill EnchantedForest 6pk","Air Wick","Wax Melt Refills","1","69kg",NA,NA,0.93
