"PSA_1","PSA_2","Article","Web Description","DQ Score"
"CLE","AIR","430994","Febreze Fabric Fresh Summer Breeze 500ml",0.95
"CLE","AIR","450173","Febreze Aerosol Heavy Duty Fresh Boost 300ml",0.95
"CLE","LAU","451717","Comfort Intense Perfume Pearls Fuchsia Passion275g",0.775
"CLE","LAU","451718","Comfort Intense Perfume Pearls Fresh Sky 275g",0.8625
"CLE","LAU","453863","Comfort Intense Flora 38 Washes",0.775
"CLE","LAU","453865","Comfort Intense Fabric Conditioner Tropical Punch64 Washes",0.8625
"CLE","LAU","454162","Comfort Fragrance Burst Luxurious 275g",0.95
"CLE","LAU","454083","Dylon Brilliant Black Sheets 10pk",0.8625
"CLE","LAU","432515","Lenor Unstoppables Spring 275g",0.95
"CLE","LAU","450762","Lenor Premium Peony Fabric Conditioner 1.8L",0.775
"CLE","LAU","450763","Lenor Deep Sea Minerals Fabric Conditioner875ml",0.95
"CLE","LAU","450764","Lenor Silk Tree Blossom Fabric Conditioner875ml",0.95
"CLE","LAU","450765","Lenor Shea Butter Fabric Conditioner875ml",0.95
"CLE","LAU","454182","Lenor Fabric Conditioner 925mlWild Flower Bloom",0.95
"CLE","LAU","454164","Persil Bio Capsules 38 Washes",0.8625
"CLE","LAU","454165","Persil Caps Colour 38 Washes",0.8625
"CLE","LAU","454168","Persil Non Bio Capsules 38 Washes",0.8625
"CLE","SUR","451243","Dettol Power and Pure Bathroom TriggerSpray 1L",0.95
"CLE","SUR","451244","Dettol Power And Pure Kitchen 1L",0.95
"CLE","SUR","451247","Dettol Disinfectant Spray Jasmine 400ml",0.95
"CLE","SUR","1159440","Caustic Soda 500g",0.9
