"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","DQ Score"
"CLE","AIR","225215","Air Wick Colours of Nature Freshmatic RefillPurple Lavender Meadow 250ml","Air Wick","14.7CM","6.7CM","6.7CM","Refills","250ml",NA,"1",1
"CLE","AIR","258375","Air Wick Freshmatic Max Refill Touch of LuxurySmooth Satin and Moon Lily","Air Wick","14.7CM","6.7CM","6.7CM","Refills","250ml",NA,"1",1
"CLE","AIR","293477","Air Wick Air Freshener Crisp Linen and Lilac 240ml","Air Wick","23.2CM","5.2CM","5.2CM","Room Sprays","240ml",NA,"1",1
"CLE","AIR","293478","Air Wick Air Freshener Purple Lavender 240ml","Air Wick","23.2CM","5.2CM","5.2CM","Room Sprays","240ml",NA,"1",1
"CLE","AIR","411909","Air Wick Reed Diffuser Crisp Linen and Lilac 25ml","Air Wick","20.3CM","8.0CM","5.4CM","Branded Reed Diffusers","25ml",NA,"1",1
"CLE","AIR","420428","Air Wick Pure Air Freshener Aerosol Spring Delight250ml","Air Wick","17.2CM","6.5CM","6.5CM","Room Sprays","250ml",NA,"1",1
"CLE","AIR","420429","Air Wick Pure Air Freshener Aerosol MediterraneanSun 250ml","Air Wick","17.2CM","6.5CM","6.5CM","Room Sprays","250ml",NA,"1",1
"CLE","AIR","420430","Air Wick Pure Ar Freshener Aerosol White Vanilla250ml","Air Wick","17.2CM","6.5CM","6.5CM","Room Sprays","250ml",NA,"1",1
"CLE","AIR","426232","Air Wick Freshmatic Max Air Freshener Refill CrispLinen 2 Pack","Air Wick","15.6CM","14.3CM","6.6CM","Refills","500ml",NA,"2pk",1
"CLE","AIR","429193","Air Wick Air Freshener Freshmatic Max Refill PinkSweet Pea","Air Wick","15.0CM","6.5CM","6.5CM","Refills","250ml",NA,"1",1
"CLE","AIR","429201","Air Wick Home Signature Reed Diffuser Water Irisand Night Orchid 100ml","Air Wick","20.5CM","8.3CM","6.6CM","Branded Reed Diffusers","100ml",NA,"1",1
"CLE","AIR","429202","Air Wick Home Signature Reed Luscious Fruitand Exotic Wood 100ml","Air Wick","20.5CM","8.3CM","6.6CM","Branded Reed Diffusers","50ml",NA,"1",1
