"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Washable","Power","Model Number","DQ Score"
"444687","Morphy Richards Accents 6pc Storage Set StainlessSteel 974104","Morphy Richards","Storage Set","Silver",NA,"6 piece",NA,NA,"974104",0.9
"444688","Morphy Richards Accents 6pc Storage Set White 974105","Morphy Richards","Storage Set","White",NA,"6 piece",NA,NA,"974105",0.9
"444711","Morphy Richards Accents 28cm Saute Pan with GlassLid Barley 973031","Morphy Richards","Saute Pans","Cream",NA,"28cm",NA,NA,"973031",0.9
"444720","Morphy Richards Accents 18cm 3 Tier Steamer White79008","Morphy Richards","Steamer","White",NA,"18cm",NA,NA,"79008",0.9
"444728","Morphy Richards Accents Pan Set Stainless Steel 46395 3pcs","Morphy Richards","Saucepan Sets","Silver",NA,"3 piece",NA,NA,"46395",0.9
"444732","Morphy Richards Accents Pan Set Cornflower Blue 973022 3pcs","Morphy Richards","Saucepan Sets","Blue",NA,"3 piece",NA,NA,"973022",0.9
"444747","Morphy Richards Equip Pan Set Stainless Steel 970002 5pcs","Morphy Richards","Saucepan Sets","Silver",NA,"5 piece",NA,NA,"970002",0.9
"444748","Morphy Richards Equip Pan Set Stainless Steel 970003 3pcs","Morphy Richards","Saucepan Sets","Silver",NA,"3 piece",NA,NA,"970003",0.9
"444750","Morphy Richards Equip 18cm 3 Tier Steamer Stainless Steel 970008","Morphy Richards","Steamer","Silver",NA,"18cm",NA,NA,"970008",0.9
"444751","Morphy Richards Equip 2.7L Pressure Cooker Stainless Steel 46640","Morphy Richards","Pressure Cooker","Silver",NA,"2.7L",NA,NA,"46640",0.9
"444752","Morphy Richards Equip Pressure Cooker Stainless Steel 46641 6L","Morphy Richards","Pressure Cooker","Silver",NA,"6L",NA,NA,"46641",0.9
"444777","Morphy Richards Pro Tri Frying Pan 79811 28cm","Morphy Richards","Frying Pans","Silver",NA,"28cm",NA,NA,"79811",0.9
"444780","Morphy Richards Pro Pressure Cooker 977000 6L","Morphy Richards","Pressure Cooker","Silver",NA,"6L",NA,NA,"977000",0.9
"414380","Prestige Stainless Steel Frying Pan 20cm","Prestige","Frying Pans",NA,"1","width 37cm, depth 21cm, height 9.5cm",NA,NA,NA,0.883333333333333
"414381","Prestige Stainless Steel Frying Pan 24cm","Prestige","Frying Pans",NA,"1","width 44cm, depth 25cm, height 11cm",NA,NA,NA,0.883333333333333
"414382","Prestige Stainless Steel Frying Pan 28cm","Prestige","Frying Pans",NA,"1","width 48cm, depth 11cm, height 11cm",NA,NA,NA,0.883333333333333
"414384","Prestige Stainless Steel Milk Pan 14cm","Prestige","Milk Pans",NA,"1","width 31cm, depth 15.5cm, height 11.5cm",NA,NA,NA,0.883333333333333
"414385","Prestige Stainless Steel Saucepan 16cm","Prestige","Saucepans",NA,"1","width 33.5, depth 17cm, 15cm",NA,NA,NA,0.883333333333333
"414386","Prestige Stainless Steel Saucepan 18cm","Prestige","Saucepans",NA,"1","width 35cm, depth 19cm, height 17.5cm",NA,NA,NA,0.883333333333333
"414387","Prestige Stainless Steel Saucepan 20cm","Prestige","Saucepans",NA,"1","width 40cm, depth 21cm, height 17.5cm",NA,NA,NA,0.883333333333333
"414388","Prestige Stainless Steel Casserole 24cm","Prestige","Casserole",NA,"1","width 35cm, depth 25.5cm, height 19.5cm",NA,NA,NA,0.93
"414389","Prestige Non-Stick Frying Pan Cream 20cm","Prestige","Frying Pans",NA,"1","width 38cm, depth 21cm, height 10cm",NA,NA,NA,0.883333333333333
"414390","Prestige Non-Stick Frying Pan Cream 24cm","Prestige","Frying Pans",NA,"1","width 26.9cm, depth 26.9cm, height 22.5cm",NA,NA,NA,0.883333333333333
"414391","Prestige Non-Stick Frying Pan Cream 28cm","Prestige","Frying Pans",NA,"1","width 48cm, depth 28.5cm, height 10cm",NA,NA,NA,0.883333333333333
"414392","Prestige Non-Stick Frying Pan Cream 30cm","Prestige","Frying Pans",NA,"1","width 50cm, depth 30.5cm, height 12.5cm",NA,NA,NA,0.883333333333333
