"Article","Web Description","Brand","Type","Colour","Washable","Size","Material","DQ Score"
"325453","Wilko Rug Grip 90 x 150cm","Wilko","Rug Grip","White","Spot Clean Only","90x150cm",NA,0.941666666666667
"338975","Wilko Tamara Rug  Charcoal 120 x 170cm","Wilko","Block Pattern Rugs","Grey",NA,"120x170cm",NA,0.883333333333333
"409036","Wilko Sparkle Rug Charcoal 120 x 170cm","Wilko","Faux Fur Rugs","Grey",NA,"120x170cm",NA,0.883333333333333
"409039","Wilko Sparkle Rug Red 120 x 170cm","Wilko","Faux Fur Rugs","Red",NA,"120x170cm",NA,0.883333333333333
"426972","Wilko Evelyn Floral Rug Red 120 x 170cm","Wilko","Floral Rugs",NA,NA,"120cm x 170cm","100% Polypropylene pile",0.883333333333333
"426974","Wilko Techno Floral Natural 120 x 170cm","Wilko","Floral Rugs",NA,NA,"120cm x 170cm","100% Polypropylene pile",0.883333333333333
"426975","Wilko Chevron Runner Duck Egg 55 x 150cm","Wilko","Runners",NA,NA,"55cm x 150cm","100% Cotton",0.883333333333333
"426976","Wilko Chevron Runner Natural 55 x 150cm","Wilko","Runners",NA,NA,"55cm x 150cm","100% Cotton",0.883333333333333
"426982","Wilko Distressed Rug Grey 120 x 170cm","Wilko","Traditional Rugs",NA,NA,"120cm x 170cm","Polypropylene",0.883333333333333
"426985","Wilko Emossed Flower Design Rug Cream120 x 170cm","Wilko","Floral Rugs",NA,NA,"120cm x 170cm","PP Pile",0.883333333333333
"426991","Wilko Teddy Bear Rug Brown 60 x 110cm","Wilko","Shaggy Rugs",NA,NA,"60cm x 110cm","Polyester pile",0.883333333333333
"426992","Wilko Teddy Bear Rug Grey 60 x 110cm","Wilko","Shaggy Rugs",NA,NA,"60cm x 110cm","Polyester pile",0.883333333333333
"426993","Wilko Teddy Bear Rug Teal 60 x 110cm","Wilko","Shaggy Rugs",NA,NA,"60cm x 110cm","Polyester pile",0.883333333333333
"426994","Wilko Teddy Bear Rug Cream 60 x 110cm","Wilko","Shaggy Rugs",NA,NA,"60cm x 110cm","Polyester pile",0.883333333333333
"426995","Wilko Teddy Bear Rug Salsa 60 x 110cm","Wilko","Shaggy Rugs",NA,NA,"60cm x 110cm","Polyester pile",0.883333333333333
"445703","Wilko Rug Sparkle Charcoal 80 x 150cm","Wilko","Shaggy Rugs",NA,"Spot Clean Only","80 x 150cm","100% Polyester",0.941666666666667
"446427","Wilko Ombre Super Soft Rug Grey 120x170cm","Wilko","Shaggy Rugs","Grey",NA,"120 x 170cm",NA,0.883333333333333
"446428","Wilko Ombre Super Soft Rug Natural 120x170cm","Wilko","Shaggy Rugs","Cream",NA,"120 x 170cm",NA,0.883333333333333
"450596","Wilko Teddy  Rug  Cream 80x150cm","Wilko","Teddy Bear Rugs","Cream",NA,"80 x 150cm","100% Polyester",0.941666666666667
"450597","Wilko Teddy Rug Teal 80 x 150cm","Wilko","Teddy Bear Rugs","Green",NA,"80 x 150cm","100% Polyester",0.941666666666667
"450598","Wilko Teddy Rug Grey 80x150cm","Wilko","Teddy Bear Rugs","Grey",NA,"80 x 150cm","100% Polyester",0.941666666666667
"421718","Stripe Runner and Doormat Set Brown57 x 100cm and 57 x 40cm","Wilko Functional","Striped Rugs","Brown",NA,"Runner 57x100cm, Doormat 57x40cm","100% Polypropylene Pile, with Latex backing",0.891666666666667
"421720","Stripe Runner and Doormat Set Brown57 x 150cm and 57 x 40cm","Wilko Functional","Striped Rugs","Brown",NA,"Runner 57x150cm, Doormat 57x40cm","100% Polypropylene Pile, with Latex backing",0.891666666666667
"421729","Stripe Runner and Doormat Set Red","Wilko Functional","Striped Rugs","Red",NA,"Runner 80x133cm, Doormat 57x40cm","100% Polypropylene Pile, with Latex backing",0.891666666666667
"421730","Stripe Runner and Doormat Set Red","Wilko Functional","Striped Rugs","Red",NA,"Runner 57x150cm, Doormat 57x40cm","100% Polypropylene Pile, with Latex backing",0.891666666666667
"421731","Stripe Runner and Doormat Set Red","Wilko Functional","Striped Rugs","Red",NA,"Runner 57x180cm, Doormat 57x40cm","100% Polypropylene Pile, with Latex backing",0.891666666666667
"421732","Stripe Runner and Doormat Set Red","Wilko Functional","STRIP","Red",NA,"Runner 57x230cm, Doormat 57x40cm","100% Polypropylene Pile, with Latex backing",0.891666666666667
"421881","Traditional Runner Bokhara Design Red 67x200cm","Wilko Functional","Traditional Rugs","Red",NA,"67x200cm","100% Polypropylene Pile",0.891666666666667
"421882","Traditional Bokhara Runner Red 67x300cm","Wilko Functional","Traditional Rugs","Red",NA,"67x300cm","100% Polypropylene Pile",0.891666666666667
"421884","Traditional Rug Bokhara Design Red 120x120cm","Wilko Functional","Traditional Rugs","Red",NA,"120x120cm","100% Polypropylene Pile",0.891666666666667
"421885","Traditional Rug Bokhara Design 120x170cm","Wilko Functional","Traditional Rugs",NA,NA,"120x170cm","100% Polypropylene Pile",0.833333333333333
