"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"451167","3M Sandblaster Sanding Sponge 180 Grit Fine","3M","Sanding Block",NA,"Gold","1","11 x 2.5 x 5.7cm","Aluminium Oxide Mineral, Paper Backing",0.9
"451168","3M Sandblaster Sanding Sponge 100 Grit Medium","3M","Sanding Block",NA,"Purple","1","37.5 x 25 x 0.1cm","Aluminium Oxide Mineral, Paper Backing",0.9
"451169","3M Sandblaster Sponge 60 Grit Coarse","3M","Sanding Block",NA,"Green","1","26.25 x 37.5 x 1cm","Aluminium Oxide Mineral, Paper Backing",0.9
"454503","3M Sandblaster Sandpaper 150 Grit Medium 3pk","3M","Sandpaper",NA,"Yellow","3pk","23.2 x 30.5 x 0.4cm","Aluminium Oxide Mineral, Paper Backing",0.9
"454504","3M Sandblaster Sandpaper 240 Grit Fine 3pk","3M","Sandpaper",NA,"Yellow","3pk","23.2 x 30.5 x 0.4cm","Aluminium Oxide Mineral, Paper Backing",0.9
"342836","Disposable Coverall Large","Draper","Tarpaulins and Protective Sheets",NA,NA,NA,"Large",NA,0.75
"289167","Nitromors Paint Varnish Remover 375ml","Nitromors","Paint and Varnish Remover",NA,NA,"1","375ml",NA,0.85
"160827","Thompsons uPVC Restorer 480ml","Thompson's","UPVC Restorer",NA,NA,NA,"480ml",NA,0.75
"10056","Wilko Sand Block Fine / Medium","Wilko","Sandpaper and Blocks",NA,"Black",NA,"Medium","Aluminium Oxide, Glue, Foam",0.9
"10057","Wilko Sand Block Medium / Coarse","Wilko","Sandpaper and Blocks",NA,NA,NA,"Medium","Aluminium Oxide, Glue, Foam",0.85
"127762","Wilko Sugar Soap Ready To Use Trigger Gun 500ml","Wilko","Sugar Soap",NA,NA,"1","500ml",NA,0.85
"150173","Wilko Masking Tape 25mm x 50m","Wilko","Masking Tape",NA,NA,NA,"25mmx50m",NA,0.8
"159218","Wilko Decorators Jumbo Sponge","Wilko","Sponges and Cloths",NA,NA,NA,"22cmx11.5cm",NA,0.8
"182560","Wilko Cellulose Thinners 125ml","Wilko","White Spirit",NA,NA,NA,"125ml",NA,0.8
"227026","Wilko Sugar Soap 500g","Wilko","Sugar Soap",NA,NA,"1","500g",NA,0.85
"2697940","Wilko Decorator Mineralised Methylated Spirit 500ml","Wilko","Brush Cleaner",NA,NA,NA,"500ml",NA,0.9125
"2698540","Wilko Turpentine Substitute 750ml","Wilko","Brush Cleaner",NA,NA,NA,"750ml",NA,0.9125
"2699140","Wilko Decorator White Spirit 750ml","Wilko","Brush Cleaner",NA,NA,NA,"750ml",NA,0.9125
"2722440","Wilko Masking Tape General Purpose 48mm x 50m","Wilko","Masking Tape",NA,NA,NA,"48mmx50m",NA,0.8
"287562","Wilko Wet and Dry Paper Fine 140mm x 230mm 10pk","Wilko","Sandpaper and Blocks",NA,NA,"10 Pack","23x14cm","Silicon Carbide, Glue, Paper",0.9
"287563","Wilko Wet and Dry Paper Assorted 140mmx230mm x 10","Wilko","Sandpaper and Blocks",NA,NA,"10pk","23 x 14cm","Silicon Carbide, Glue, Paper",0.9
"287564","Wilko Emery Cloth Assorted 140mm x 230mm 10pk","Wilko","Sponges and Cloths",NA,NA,"10pk","23 x 14cm","Aluminium Oxide, Glue, Emery Cloth",0.9
"287568","Wilko Sanding Block Cork","Wilko","Sandpaper and Blocks",NA,"Yellow","1pk","11 x 6.2 x 3.1cm","Cork",0.95
"287953","Wilko Mini Brush Set Abrasive","Wilko","Decorating Tools",NA,NA,"1","Mini","Wire, Brass, Nylon",0.9
"287954","Wilko Wire Brush Secure Comfort Grip Handle","Wilko","Decorating Tools",NA,NA,"1","1 Pack",NA,0.85
"299049","Wilko Paint and Varnish Stripper All Purpose 500ml","Wilko","Paint and Varnish Remover",NA,NA,NA,"500ml",NA,0.8
"342405","Wilko Aluminium Oxide Fine 10pk","Wilko","Sandpaper and Blocks",NA,NA,"1","10 Pack","Aluminium Oxide, Glue, Foam",0.9
"342406","Wilko Aluminium Oxide Medium 10pk","Wilko","Sandpaper and Blocks",NA,NA,"10 Pack","23 x 14cm","Aluminium Oxide, Glue, Foam",0.9
"342408","Wilko Aluminium Oxide Assorted 10pk","Wilko","Sandpaper and Blocks",NA,NA,"10pk","23 x 14cm","Aluminium Oxide, Glue, Paper",0.9
"342716","Wilko Nitrile Gloves","Wilko","Disposable Gloves",NA,"Blue","1",NA,NA,0.85
"342744","Wilko Carpet Protection Tape 600mmx25m","Wilko","Tarpaulins and Protective Sheets",NA,NA,"1","600mm x 25M",NA,0.85
"342779","Wilko Masking Tape 24mm x 25m","Wilko","Masking Tape",NA,NA,NA,"24mm x 25M",NA,0.8
"342780","Wilko Masking Tape Low Tack 24mm x 25m","Wilko","Masking Tape",NA,NA,"1","24mm x 25M",NA,0.85
"343136","Wilko Protective Dustsheet 2.4 x 3.6m","Wilko","Tarpaulins and Protective Sheets",NA,NA,NA,"2.4x3.6m",NA,0.8
"343145","Wilko Steel Wool  Assorted 3pk","Wilko","Steel Wool",NA,"Silver","3pk",NA,"Steel",0.9
"343146","Wilko 5 In 1 Tool","Wilko","Decorating Tools",NA,"Red","1",NA,NA,0.85
"343147","Wilko Putty Knife","Wilko","Putty Knife",NA,"Red","1",NA,NA,0.85
"343148","Wilko Combination Shavehook","Wilko","Shavehook",NA,"Red","1",NA,NA,0.85
"343149","Wilko Chisel Knife 38mm","Wilko","Decorating Tools",NA,"Red","1","38mm",NA,0.9
"343150","Wilko Flexible Filling Knife 50mm","Wilko","Filling Knife",NA,"Red","1","50mm",NA,0.9
"343151","Wilko Stiff Scraper 75mm","Wilko","Scraper",NA,"Red","1","75mm",NA,0.9
"343152","Wilko Stiff Scraper 100mm","Wilko","Scraper",NA,"Red","1","100mm",NA,0.9
"343300","Wilko Filling Blades 4pk","Wilko","Filling Knife",NA,"Red","4pk","4 Pack",NA,0.9
"343652","Wilko Glass Scraper","Wilko","Decorating Tools",NA,NA,"1","1 Pack",NA,0.85
"343653","Wilko Replacement Blade 39mm 5pk","Wilko","Decorating Tools",NA,"Silver","5pcs","39mm",NA,0.9
"343654","Wilko Glass And Tile Scraper","Wilko","Decorating Tools",NA,"Red","1","1 Pack",NA,0.9
"343655","Wilko Replacement Blade 89mm 5pk","Wilko","Decorating Tools",NA,"Silver","5pcs","89mm",NA,0.9
"344321","Wilko Tarpaulin 2mx1.35m","Wilko","Tarpaulins and Protective Sheets",NA,NA,NA,"2.3mx1.35m",NA,0.8
"344322","Wilko Tarpaulin 3.5m x 2.6m","Wilko","Tarpaulins and Protective Sheets",NA,NA,"1","3.65x2.74m",NA,0.85
"454733","Wilko Sugar Soap Wipes 50pk","Wilko","Sugar Soap",NA,NA,"50pk","19cm x 13cm","PP, Viscose non-woven fabric",0.9
"60969","Wilko Paint Brush Cleaner 500ml","Wilko","Brush Cleaner",NA,NA,NA,"500ml",NA,0.9125
"66386","Wilko Sugar Soap Concentrated 500ml","Wilko","Sugar Soap",NA,NA,NA,"500ml",NA,0.8
