"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"306139","Sun Lover Cord and Ball Chain Retainer","Sunflex","Cord Holder",NA,"Clear",NA,"Single",NA,0.8
"282030","Wilko Venetian Blind Slat Cutter 25mm","Wilko","Cutter",NA,"Black",NA,"25mm",NA,0.85
"282031","Wilko Venetian Blind Cleaner 25mm","Wilko","Cleaner",NA,"Black",NA,"25mm",NA,0.85
