"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"436514","Forest Garden Bi-Fold Roof Bin Store","Forest Garden","Bin Storage",NA,"92cm x 146cm x 121.5cm","Yes","Softwood",0.941666666666667
"436517","Forest Garden Pinnacle Log Store","Forest Garden","Log Storage",NA,"64.8cm x 149.4cm x 149.4cm","Yes","Softwood",0.941666666666667
"436550","Forest Garden Overlap Garden Wall Store","Forest Garden","Tool Storage",NA,"149.4cm x 111.8cm x 64.9cm","Yes","Softwood",0.941666666666667
"436551","Forest Garden Storage Garden Chest","Forest Garden","Tool Storage",NA,"93.9cm x 126cm x 93.9cm","Yes","Softwood",0.941666666666667
"436552","Forest Garden Overlap Garden Tool Chest","Forest Garden","Tool Storage",NA,"93.4cm x 126cm x 85.8cm","Yes","Softwood",0.941666666666667
"436554","Forest Garden Pressure Treated Maxi Garden WallStore","Forest Garden","Tool Storage",NA,"184cm x 15.4cm x 8.5cm","Yes","Softwood",0.941666666666667
"436556","Forest Garden Tall Garden Store","Forest Garden","Tool Storage",NA,"20.4cm x 9.3cm x 5.8cm","Yes","Softwood",0.941666666666667
"436820","Forest Garden Maxi Wall Store","Forest Garden","Tool Storage",NA,"154.1cm x 84cmm x 183.6cm","Yes",NA,0.883333333333333
"436821","Forest Garden Overlap Garden Bike Store 2m","Forest Garden","Bike Storage",NA,"161.3cm x 212.5cm x 161.3cm","Yes",NA,0.883333333333333
"436822","Forest Garden Overlap Garden Mower Store","Forest Garden","Tool Storage",NA,"146.6cm x 143.1cm x 146.6cm","Yes",NA,0.883333333333333
"436823","Forest Garden Overlap Pent Tool Store","Forest Garden","Tool Storage",NA,"184.6cm x 111.8cm x 184.6cm","Yes",NA,0.883333333333333
