"Article","Web Description","Brand","Type","DQ Score"
"427802","Amber Double Bed Frame White","Amber","Double Bed",1
"427803","Amber Double Bed Frame Antique Pine","Amber","Double Bed",1
"s100069","Carlow Double Bed Natural Pine","Carlow","Double Bed",1
"420762","Diamante Double Bed Frame White","Diamante","Double Bed",1
"420763","Diamante Double Bed Frame Black","Diamante","Double Bed",1
"440461","Dorset Double Bed Frame Black","Dorset","Double Bed",1
"440462","Dorset Double Bed Frame Silver","Dorset","Double Bed",1
"p100139","Florence Double Bed White","Florence","Double Bed",1
"p100141","Florence Double Bed Black","Florence","Double Bed",1
"440469","Ville High End Double Bed Frame White","Ville","Double Bed",1
"440470","Ville High End Double Bed Frame Antique Pine","Ville","Double Bed",1
