"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Age","Washable","DQ Score"
"456899","Dove Baby Wipes Sensitive 50pk","Dove","Baby Wipes ",NA,"50",NA,NA,NA,0.81
"228965","Huggies Wipes Natural Care Aloe Vera and Vitamin E56pk","Huggies","Baby Wipes",NA,"64pk","64",NA,NA,0.93
"228966","Huggie Baby Wipes Pure 56pk","Huggies","Baby Wipes",NA,"1","56 Wipes",NA,NA,0.88
"253765","Huggies Dry Nites Pyjama Pants Girls 4-7 Years10pk","Huggies","Pyjama Pants",NA,"10pk","17-30kg",NA,NA,0.93
"253766","Huggies Dry Nites Pyjama Pants Boys 4-7 Years10pk","Huggies","Pyjama Pants",NA,"10pk","17-30kg - 2st 10lbs-4st 10lbs",NA,NA,0.93
"288087","Huggies Dry Nites Pyjama Pants Boys 8-15 Years 9pk","Huggies","Pyjama Pants",NA,"9pk","8-15Yrs",NA,NA,0.93
"288088","Huggies Drynites Pyjama Pants Girls 8-15 Years 9pk","Huggies","Pyjama Pants",NA,"1","8-15Yrs",NA,NA,0.93
"439842","Swimmies Swim Pants Unisex Medium 11pk","Huggies","Swim Nappies",NA,"11","Size Medium Swimpants 12kg  27lb",NA,NA,0.88
"439354","Johnson's Extra Sensitive Fragrance Free BabyWipes 56pk","Johnsons","Baby Wipes",NA,"56",NA,NA,NA,0.81
"439355","Johnson's Gentle All Over Baby Wipes 56pk","Johnsons","Baby Wipes",NA,"56",NA,NA,NA,0.81
"439361","Johnson's Extra Sensitive Fragrance Free BabyWipes 4pk","Johnsons","Baby Wipes",NA,"56",NA,NA,NA,0.81
"271187","Pampers Baby Dry Size 4+ Maxi Plus 24pk","Pampers","Nappies",NA,"1","Maxi Plus",NA,NA,0.93
"271188","Pampers Baby Dry Size 5 Junior 23pk","Pampers","Nappies",NA,"23pk","Stage 5, Junior",NA,NA,0.93
"271189","Pampers Baby Dry Size 5+ Junior Plus 22pk","Pampers","Nappies",NA,"22pk","Junior Plus",NA,NA,0.93
"290664","Pampers New Baby Nappies Size 1 22pk","Pampers","Nappies",NA,"23",NA,NA,NA,0.86
"290665","Pampers New Baby Size 2 32pk","Pampers","Nappies",NA,"32pk","Stage 2, Mini",NA,NA,0.93
"290666","Pampers New Baby Size 3 Midi 29pk","Pampers","Nappies",NA,"1","Stage 3",NA,NA,0.93
"307112","Pampers Sensitive Baby Wipes 56pk","Pampers","Baby Wipes",NA,"56pk",NA,NA,NA,0.86
"307113","Pampers Baby Wipes Fragrance Free 64pk","Pampers","Baby Wipes",NA,"64pk",NA,NA,NA,0.86
"307114","Pampers Fragrance Free Baby Wipes 64pk","Pampers","Baby Wipes",NA,"1","64 Wipes",NA,NA,0.93
"341558","Pampers Baby Dry Size 6 Extra Large Nappies 19pk","Pampers","Nappies",NA,"19pk",NA,NA,NA,0.86
"341566","Pampers Baby Dry 6+ Extra Large Plus Nappies 19pk","Pampers","Nappies",NA,"19pk",NA,NA,NA,0.86
"417461","Pampers Baby Dry Size 6 Extra Large 33pk","Pampers","Nappies",NA,NA,NA,NA,NA,0.79
"417462","Pampers Baby Dry Size 4 Maxi 44pk","Pampers","Nappies",NA,NA,NA,NA,NA,0.79
"417468","Pampers Baby Dry Size 5+ Junior Plus 35pk","Pampers","Nappies",NA,NA,NA,NA,NA,0.79
"417471","Pampers Baby Dry Size 5 Junior 39pk","Pampers","Nappies",NA,NA,NA,NA,NA,0.79
"430353","Pampers Baby Dry Nappy Pants Size 6Extra Large 19pk","Pampers","Nappies",NA,NA,NA,NA,NA,0.79
