"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"327242","Wilko Duvet Set King Waffle White","Wilko","King Size Duvet Cover","White",NA,"Washable","Kingsize","50% Polyester, 50% Cotton",0.95
"327254","Wilko Duvet Set King Striped Naturals","Wilko","King Size Duvet Cover","Cream",NA,"Washable","Kingsize","52% Polyester, 48% Cotton",0.95
