"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Size","DQ Score"
"439417","Crayola Creations Thread Wrapper","Crayola","Craft Kits","Multi",NA,"1","8 Years +",NA,0.891666666666667
"456570","Grafix 2 in 1 Geo Science Experiment Kit","Grafix","Science Fun","Multi",NA,"1","12 Months +",NA,0.891666666666667
"456571","Grafix Ulitmate Magic Set","Grafix","Magic Set","Multi",NA,"1","5 Years +",NA,0.891666666666667
"454754","Harry Potter Cluedo","Harry Potter","Classic Games",NA,NA,"1","8 years+",NA,0.883333333333333
"268008","Classic Monopoly","Hasbro","Board Games","Multi",NA,"1","8 Years +",NA,0.891666666666667
"454755","Game of Thrones Cluedo","Hasbro","Classic Games",NA,NA,"1","8 years+",NA,0.783333333333333
"280110","Don't Say It Game","Paul Lamond Games","Card Games","Multi",NA,"1","6 Years +",NA,0.891666666666667
"291348","Yes No Card Game","Paul Lamond Games","Card Games","Multi",NA,"1","8 Years +",NA,0.891666666666667
"419540","FX 4 x 35pc Jigsaw Asst B","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",NA,0.891666666666667
"440504","Jigsaws 4 x 35piece Assorted Theme","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",NA,0.891666666666667
"439968","Robo Fish","Robo Fish","Figures","Multi",NA,"1","3 Years +",NA,0.941666666666667
"439969","Robo Fish With Bowl","Robo Fish","Figure Playsets","Multi",NA,"1","3 Years +",NA,0.941666666666667
"336306","Sally Hansen Maximum Growth","Sally Hansen","Nail Care",NA,NA,NA,NA,"13.3ml",0.86
"336307","Sally Hansen Maximum Strengthener","Sally Hansen","Nail Care",NA,NA,NA,NA,"13.3ml",0.86
"336309","Sally Hansen Hard As Nails Natural","Sally Hansen","Nail Polish","Cream",NA,NA,NA,"13.3ml",0.93
"336310","Sally Hansen Hard As Nails Wrap","Sally Hansen","Nail Care",NA,NA,NA,NA,"13.3ml",0.86
"336311","Sally Hansen Diamond Strength","Sally Hansen","Nail Polish",NA,NA,NA,NA,"13.3ml",0.86
"336312","Sally Hansen Nail Growth Miracle","Sally Hansen","Nail Care",NA,NA,NA,NA,"13.3ml",0.86
"336313","Sally Hansen Double Duty","Sally Hansen","Nail Polish",NA,NA,NA,NA,"13.3ml",0.86
"336314","Sally Hansen No Chip Top Coat","Sally Hansen","Nail Polish",NA,NA,NA,NA,"13.3ml",0.86
"336318","Sally Hansen Vitamin E Oil","Sally Hansen","Nail Care",NA,NA,NA,NA,"13.3ml",0.86
"336658","Sally Hansen Nail Polish Remover Regular","Sally Hansen","Nail Polish Remover",NA,NA,"1",NA,"200ml",0.93
"336659","Sally Hansen Acetone Free Nail Polish Remover","Sally Hansen","Nail Polish Remover",NA,NA,NA,NA,"200ml",0.86
"336660","Sally Hansen Nail Polish Remover Strengthen200ml","Sally Hansen","Nail Polish Remover",NA,NA,"1",NA,"200ml",0.93
"336661","Sally Hansen Nail Polish Remover Moisturising","Sally Hansen","Nail Polish Remover",NA,NA,NA,NA,"200ml",0.86
"351548","Sally Hansen Rehab Strengthen","Sally Hansen","Nail Care",NA,NA,"1",NA,NA,0.86
"351550","Sally Hansen Diamond Flash Top Coat","Sally Hansen","Nail Polish",NA,NA,"1",NA,NA,0.86
"445082","Sally Hansen Complete Salon Manicure Clear'd ForTakeoff","Sally Hansen","Nail Polish",NA,NA,"1",NA,"14.7ml",0.93
"445084","Sally Hansen Complete Salon Manicure Pink Slip","Sally Hansen","Nail Polish",NA,NA,"1",NA,"14.7ml",0.93
