"Article","Web Description","Brand","Type","Coverage","Pack Qty","Size","DQ Score"
"281346","Evergreen Autumn 2 in 1 Lawn Care Refill 3.5kg","Evergreen","Autumn Lawn Treatments",NA,"1","3.5kg",0.93
"341225","Gro-Sure Smart Seed 25m2","Gro-Sure","Lawn Seed",NA,"1",NA,0.86
"341283","Wilko Multi-Purpose Lawn Seed 5kg","Wilko","Lawn Seed",NA,NA,"5kg",0.86
"6479140","Wilko Luxury Lawn Seed 25kg","Wilko","Lawn Seed",NA,"1","25kg",0.93
"6479640","Wilko Hardwearing Lawn Seed 25kg","Wilko","Lawn Seed",NA,"1","25kg",0.93
