"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"FOO","CAN","401677","Britvic J2O Apple and Mango 275ml 4pk","J20","Drinks Multipack","4",NA,0.8625
"FOO","CHO","405633","Cadbury Bista Wispa Bag 110g","Cadbury","Confectionery","1",NA,0.9125
"FOO","CHO","417044","Loadsa Sweets Plus 40 Percent","Swizzels","Halloween confectionery","1",NA,0.81
"FOO","CHO","417046","Loadsa Lollies Plus 40 Percent","Swizzels","Halloween confectionery","1",NA,0.81
"FOO","KID","295008","Swizzels Giant Parma Violets","Swizzels","Halloween confectionery","1",NA,0.9125
