"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"FOO","CHO","237150","Maynards Wine Gums 400g","Maynards","18.6CM","12.7CM","6.6CM","Confectionery Gifts","400g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","209529","Quality Street Matchmakers Cool Mint 130g","Nestle","13.8CM","14.5CM","2.5CM","Boxed Chocolate","130g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","258101","Nestle Dairy Box 180g","Nestle","22.5CM","22.5CM","3.2CM","Boxed Chocolate","180g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","282623","Nestle Black Magic Chocolates 174g","Nestle","20.1CM","20.3CM","2.8CM","Boxed Chocolate",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","437720","Quality Street Carton 265g","Nestle","19.7CM","6.3CM","9.4CM","Boxed Chocolate","265g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","444452","After Eight 300g","Nestle","5.8CM","19.1CM","5.7CM","Confectionery Gifts","300g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","CHO","417044","Loadsa Sweets Plus 40 Percent","Swizzels","23.5CM","17.5CM","4.0CM","Halloween confectionery",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"FOO","CHO","417046","Loadsa Lollies Plus 40 Percent","Swizzels","23.5CM","17.5CM","4.0CM","Halloween confectionery",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"FOO","CHO","338494","Terrys Chocolate Orange Minis Bag 136g","Terrys","16.5CM","11.0CM","4.5CM","Confectionery","136g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","256469","Thorntons Classic Collection Box 248g","Thorntons","22.2CM","19.3CM","4.6CM","Boxed Chocolate","248g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","271676","Thorntons Milk Chocolate Brazils 138g","Thorntons","22.7CM","20.0CM","2.5CM","Boxed Chocolate","138g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","302173","Thorntons Classic Milk 248g","Thorntons","22.2CM","19.3CM","4.6CM","Boxed Chocolate","248g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","338954","Thorntons Original Special Toffee 300g","Thorntons","11.5CM","13.2CM","5.1CM","Confectionery","300g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","404857","Thorntons Continental Viennese 145g","Thorntons","19.9CM","13.8CM","7.3CM","Boxed Chocolate","145g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","404858","Thorntons Continental Alpini 180g","Thorntons","19.9CM","13.8CM","7.3CM","Boxed Chocolate","180g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","434407","Thorntons Wrapped Classic Collection Chocolates248g","Thorntons","22.7CM","20.0CM","5.0CM","Boxed Chocolate","248g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","437488","Thorntons Classic Collection 123g","Thorntons","22.7CM","20.0CM","2.5CM","Boxed Chocolates","123g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","439304","Thorntons Continental 142g","Thorntons","16.2CM","23.8CM","3.2CM","Boxed Chocolate","142g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","439305","Thorntons Classic Dark Collection 248g","Thorntons","22.7CM","20.0CM","4.5CM","Boxed Chocolates","248g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","CHO","439306","Thorntons Classic Mint Assorted Box 168g","Thorntons","18.2CM","23.8CM","2.8CM","Boxed Chocolate","168g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","439307","Thorntons Toffee, Fudge & Caramel Bag 85g","Thorntons","14.5CM","7.5CM","4.0CM","Confectionery Gifts","85g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","439308","Thorntons Fruit Bag 84g","Thorntons","14.5CM","7.5CM","4.0CM","Confectionery Gifts","84g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","439347","Thorntons Mint Bag 77g","Thorntons","14.5CM","7.5CM","4.0CM","Confectionery Gifts","77g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","439348","Thorntons Classic Milk Dark and White Bag 87g","Thorntons","14.5CM","7.5CM","4.5CM","Confectionery Gifts","87g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","450257","Thorntons Nuts and Pralines Chocolate Bag 82g","Thorntons","14.5CM","7.5CM","4.0CM","Confectionery Gifts","82G",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","CHO","258721","Toffifee 100g","Toffifee","10.5CM","17.5CM","2.0CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","KID","404407","Candyking Sharing Tub 840g","Candy King","22.5CM","22.5CM","11.5CM","Confectionery","840g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","KID","420688","Chupa Mini Bag 120g","Chupa Chups","3.0CM","16.0CM","21.0CM","Halloween confectionery","120g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"FOO","KID","449768","Maoam Joystixx 160g","Haribo","2.5CM","18.0CM","22.5CM","Halloween confectionery","160g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"FOO","KID","295008","Swizzels Giant Parma Violets","Swizzels","1.8CM","15.5CM","1.8CM","Halloween confectionery",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"FOO","MUL","312406","Pringles Salt and Vinegar 200g","Pringles","25.9CM","7.9CM","7.9CM","Crisps","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","SP1","260714","Jacobs Twiglets Original Caddy 200g","Jacobs","19.5CM","9.9CM","9.9CM","Christmas Snacking","200g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SP1","192280","Mcvities Mini Cheddars Original Drum260g","McVities","18.1CM","10.3CM","10.3CM","Christmas Snacking","260g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
