"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"SBK","ADH","431759","Avery Printable Mailing Labels Assorted Sizes","Avery","10",0.86
"SBK","ADH","431763","Avery Printable Clear Labels 36pk 95 x 41mm","Avery","36",0.86
