"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Capacity","DQ Score"
"KIT","MSP","450357","Curver Knit Laundry Basket 40L","Curver","59x39x44cm","White",NA,"Polypropylene","40 Litre",0.95
"KIT","MSP","450358","Curver Basket Round My Style 30 Litre","Curver","39x39x37cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450359","Curver Waste Paper Basket My Style 13L","Curver","29x29x33cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450360","Curver Basket Round Knit 30L","Curver","39x39x33cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450362","Curver Basket XL My Style 30L","Curver","43x34x29cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450363","Curver Basket Rectangle Knit 3 Litre","Curver","25x18x14cm","White","1","Polypropylene","3 Litre",0.95
"KIT","MSP","450364","Curver Basket Rectangle Knit 8 Litre","Curver","30x22x17cm","Cream","1","Polypropylene",NA,0.95
"KIT","MSP","450365","Curver Basket Rectangular Knit 19 Litre","Curver","40x28x23cm","Cream","1","Polypropylene",NA,0.95
"KIT","STO","434658","Curver Basket 18L","Curver","30 x 36 x 22 cm","Cream","1","Plastic",NA,0.95
"KIT","STO","436174","Curver Basket 8L","Curver","10.5x19x25.4cm","Cream","1","Plastic",NA,0.95
"KIT","STO","436175","Curver Basket 13L","Curver","29x35x13.5cm",NA,"1","Polypropelyne",NA,0.941666666666667
"PET","100","334093","Curver Pet Life Dry Pet Food Container 10L","Curver","4kg","Multi","1",NA,"4kg",0.95
"PET","100","334098","Curver Pet Life Dry Pet Food Container 35L","Curver","12kg",NA,"1",NA,"12kg",0.9
"PET","100","334099","Curver Pet Life Dry Pet Food Container 54L","Curver","10kg",NA,"1",NA,"20kg",0.9
"PET","100","335058","Curver Petlife Covered Pet Litter Tray Cream","Curver","39cmx39cmx51cm","Cream","1",NA,NA,1
"PET","100","335060","Pet Carrier Cream","Curver","33cmx37cmx53cm","Cream","1",NA,NA,0.95
"PET","100","335061","Pet Carrier Brown","Curver","33cmx37cmx53cm","Brown","1",NA,NA,0.95
"PET","LIT","335059","Curver Petlife Covered Pet Litter Tray Black","Curver","39cmx39cmx51cm","Black","1",NA,NA,1
