"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","DQ Score"
"DIY","BRA","438294","StorePAK Flat Packed Storage Boxes Medium 5pk","StorePAK","H40.5cm x W40.5cm x D40.5cm","5pk","Recycled board",0.9
"DIY","BRA","438295","StorePAK Flat Packed Storage Boxes Large 5pk","StorePAK","H55cm x W46cm x D46cm","5pk","Recycled board",0.9
"DIY","BRA","438296","StorePAK Flat Packed Eco Archive Storage Boxes 5pk","StorePAK","H25cm x W33cm x D40cm","5pk","Recycled board",0.9
"DIY","BRA","438298","StorePak Bubble Wrap Roll 25m","StorePAK","0.5m Wide x 25m long","1",NA,0.93
"DIY","BRA","438299","StorePAK Parcel Tape 66m x 48mm Roll Brown","StorePAK","Roll of Tape - 48mm wide x 66m Long","1","Polypropylene Film",0.941666666666667
