"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"SBK","BOM","431044","Help with Homework First Learning Counting and Alphabet Ages 3-5 Years Assorted","Help With Homework","1",1
"SBK","BOM","431046","Homework Helpers Key Stage 1 First Maths and Phonics Ages 5-7 Years Assorted","Help With Homework","1",0.95
"SBK","BOM","431048","Help with Homework Key Stage 1 Spelling and Numbers Ages 5-7 Years Assorted","Help With Homework","1",1
"SBK","BOM","431346","Help with Homework Maths and English Ages 5+ YearsAssorted","Help With Homework","1",1
"SBK","BOM","431347","Help with Homework First Time Learning Books Ages3+ Years","Help With Homework","1",1
"SBK","BOM","431379","Help with Homework First Time Learning Wipe CleanPad Ages 3+ Years Assorted","Help With Homework","1",1
"SBK","BOM","431380","Help with Homework Reward Pads Ages 5+ Years Assorted","Help With Homework","1",1
"SBK","BOM","431381","Help with Homework Handwriting Ages 5+ Years","Help With Homework","1",1
"SBK","BOM","431382","Help with Homework Bumper Workbook","Help With Homework","1",1
"SBK","BOM","431456","Help with Homework Pad Maths Ages 5+ Years","Help With Homework","1",1
"SBK","BOM","431457","Help with Homework Adding and Subtracting Ages 7+Years","Help With Homework","1",1
