"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Material","Assembly","DQ Score"
"HOM","FUR","p200120","Boston-Lyon Wardrobe White and Ash 2 Door","Boston-Lyon","Wood","Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200121","Boston-Lyon Wardrobe White + Ash 3 Door","Boston-Lyon","Wood","Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200123","Boston-Lyon 3 + 2 Drawer Chest White And  Ash","Boston-Lyon","Wood","Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200125","Boston-Lyon 3 Drawer Chest White + Ash","Boston-Lyon","Wood","Ash Veneer Top and Plywood","Yes",0.941666666666667
