"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","CRE","456570","Grafix 2 in 1 Geo Science Experiment Kit","Grafix","Multi","1","12 Months +",0.891666666666667
"TOY","CRE","456571","Grafix Ulitmate Magic Set","Grafix","Multi","1","5 Years +",0.891666666666667
