"PSA_1","PSA_2","Article","Web Description","Brand","Size","Material","DQ Score"
"DEC","STE","147042","ABRU Combination Ladder 3 Way","Abru","H:186xW:46xD:15.1cm","Aluminium",1
"DEC","STE","2788040","Abru 4 Tread Step Ladder","Abru","H:140cxW:42xD:12cm","Aluminium",1
"DEC","STE","342713","ABRU Heavy Duty 2 Step and Stool Grey","Abru","H:90xW:49xD:5cm",NA,0.9125
"DEC","STE","342714","ABRU Work Platform Handy Silver Effect 0.5m x 0.69x 0.3m","Abru","H:50xW:69xD:30cm",NA,0.9125
"DEC","STE","74762","Abru Domestic Step Ladder Aluminium 2 Tread","Abru","H:110xW:31.5xD:11.5cm","Aluminium",1
"DEC","STE","ab00001","Abru 3 Tread Step Ladder Chrome","Abru","0.70m","Steel",0.95
"DEC","STE","ab00002","Abru 10Way Combination Step Ladder","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00003","Abru 5Way Combination Ladder and Platform","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00005","Abru Loft Ladder Access Kit Wood","Abru",NA,"Timber",0.8625
"DEC","STE","ab00006","Abru Triple Extension Ladder Aluminium","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00007","Abru 2 Tread Stepstool Chrome","Abru",NA,"Steel",0.8625
"DEC","STE","ab00008","Abru Handy Work Platform Aluminium","Abru",NA,"Aluminium",0.9125
"DEC","STE","ab00010","Abru Triple Extension Ladder Aluminium","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00011","Abru Step Ezee 2 Step Stepstool","Abru",NA,"Steel",0.8625
"DEC","STE","ab00012","Abru 2 Step Large Stepstool","Abru",NA,"Steel",0.8625
"DEC","STE","ab00013","Abru 5 Tread High Handrail Stepladder","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00015","Abru Maxi Work Platform","Abru",NA,"Aluminium",0.9125
"DEC","STE","ab00016","Abru 3 Way Combination ladder with Tray","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00017","Abru Easy Stow 3  Section Loft Ladder","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00018","Abru Easy Stow 3  Section Loft Ladder","Abru",NA,"Aluminium",0.8625
"DEC","STE","ab00019","Abru DIY 2.5m Double Extension Ladder","Abru","2.5m","Aluminium",0.95
"DEC","STE","ab00020","Abru DIY 3.4m Double Extension Ladder","Abru","3.4m","Aluminium",0.95
"DEC","STE","ab00021","Abru DIY 2.8m Triple Extension Ladder","Abru","2.8m","Aluminium",0.95
