"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Model Number","DQ Score"
"SBK","COM","262974","Texet Keyboard MB-768B","Texet","442x132x25mm","Black","1","No",NA,NA,0.65
"SBK","COM","288964","Texet Web Camera WCM-183","Texet",NA,NA,"1","No",NA,NA,0.65
"SBK","COM","288965","Texet Microphone E-120","Texet","1.2m","Black","1","No",NA,"STD E120",0.65
"SBK","COM","307249","Texet Screen Cleaning Kit CCK212","Texet",NA,NA,"1","No",NA,NA,0.65
"SBK","COM","332301","Texet Screen Shield Protector IPhone 5 Anti-Scratch","Texet",NA,NA,"1","No",NA,NA,0.65
"SBK","COM","333786","Texet Wireless Optical Computer Mouse Black","Texet",NA,NA,"1","No","Battery",NA,0.65
"SBK","COM","349218","Texet Ethernet Cable 3m","Texet","3.0m",NA,NA,"No",NA,NA,0.65
"SBK","COM","349274","USB Light","Texet",NA,NA,"1","No",NA,NA,0.6
"SBK","COM","420871","Texet Bluetooth Mouse","Texet",NA,NA,"1","No",NA,NA,0.65
"SBK","COM","420888","USB Car Charger 2A","Texet",NA,NA,"1",NA,NA,NA,0.775
