"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","MED","453228","Jelly Bears Multivitamin Strawberry 120g","Millhouse","1",0.8625
"TOI","MED","453229","Jelly Bears Calcium Strawberry 120g","Millhouse","1",0.8625
