"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","413897","Marvel Superheroes Wallpaper Comic Cover","Marvel","10m x 0.52m","Multi","1","Paper","No","5.2m²","70-238",0.65
"HOM","CHI","420596","Marvel Comics Fleece Blanket 120 x 150cm","Marvel","120CMX150CM",NA,"1",NA,NA,NA,NA,0.85
"HOM","CHI","420597","Marvel Comics Cushion 40x40cm","Marvel","40CMX40CM",NA,"1",NA,NA,NA,NA,0.85
"SBK","BOM","405986","Marvel Avengers Assemble Sticker Play","Marvel",NA,NA,"1",NA,"No",NA,NA,0.65
"SBK","BOM","431474","Marvel Spider-Man Fun Doodles Activity Book","Marvel","0.4cm 20cm 27.6cm",NA,"1",NA,"No",NA,NA,0.65
"SBK","BOM","431475","Marvel Avengers Colouring and Sticker ActivityPack","Marvel","0.3cm, 21.5cm, 27cm",NA,"1",NA,"No",NA,NA,0.65
"SBK","BOM","431476","Marvel Avengers Assemble Mega Colouring Book","Marvel","0.6cm 21.5cm 27cm",NA,"1",NA,"No",NA,NA,0.65
"SBK","GIF","410970","Marvel Roll Wrap 2m","Marvel","2m x 69cm","Multi","1",NA,NA,NA,NA,0.941666666666667
"SBK","GIF","410971","Marvel Gift Wrap 2 Sheet 2 Tag","Marvel","Sheet 50 x 70cm Tag 7.3 x 7.3cm",NA,"2",NA,NA,NA,NA,0.883333333333333
"TOI","ACB","452293","Marvel Spider-Man Bath and Shower Bubbles400ml","Marvel","Expanded Facecloth 28cm x 28cm",NA,"1",NA,NA,NA,NA,0.95
