"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","CHO","256469","Thorntons Classic Collection Box 248g","Thorntons","248g","1","No",0.65
"FOO","CHO","271676","Thorntons Milk Chocolate Brazils 138g","Thorntons","138g","1","No",0.65
"FOO","CHO","302173","Thorntons Classic Milk 248g","Thorntons","248g","1","No",0.65
"FOO","CHO","338954","Thorntons Original Special Toffee 300g","Thorntons","300g","1","No",0.65
"FOO","CHO","404857","Thorntons Continental Viennese 145g","Thorntons","145g","1","No",0.65
"FOO","CHO","404858","Thorntons Continental Alpini 180g","Thorntons","180g","1","No",0.65
"FOO","CHO","434407","Thorntons Wrapped Classic Collection Chocolates248g","Thorntons","248g","1","No",0.65
"FOO","CHO","437488","Thorntons Classic Collection 123g","Thorntons","123g","1",NA,1
"FOO","CHO","439304","Thorntons Continental 142g","Thorntons","142g","1","No",0.65
"FOO","CHO","439305","Thorntons Classic Dark Collection 248g","Thorntons","248g","1",NA,1
"FOO","CHO","439306","Thorntons Classic Mint Assorted Box 168g","Thorntons","168g","1","No",0.65
"FOO","CHO","439307","Thorntons Toffee, Fudge & Caramel Bag 85g","Thorntons","85g","1","No",0.65
"FOO","CHO","439308","Thorntons Fruit Bag 84g","Thorntons","84g","1","No",0.65
"FOO","CHO","439347","Thorntons Mint Bag 77g","Thorntons","77g","1","No",0.65
"FOO","CHO","439348","Thorntons Classic Milk Dark and White Bag 87g","Thorntons","87g","1","No",0.65
"FOO","CHO","450257","Thorntons Nuts and Pralines Chocolate Bag 82g","Thorntons","82G","1","No",0.65
"FOO","SXM","294115","Thorntons Advent Calendar with Milk Chocolate Pieces 83g","Thorntons","93g","1","No",0.65
"FOO","SXM","323929","Thorntons Gifting Snowman Chocolate 60g","Thorntons","60g","1","No",0.65
"FOO","SXM","323931","Thorntons Jolly Santa 80g","Thorntons","80g","1","No",0.65
"FOO","SXM","338951","Thorntons The Snowman and The Snowdog Chocolate Statue 200g","Thorntons","200g","1","No",0.65
"FOO","SXM","404860","Thorntons Snowdog Model 60g","Thorntons","60g","1","No",0.65
"FOO","SXM","442216","Thorntons Milk Dark Marzipan 174g","Thorntons","174g","1","No",0.65
"FOO","SXM","442217","Thorntons Milk Dark WhiteSnowflake and Snowball","Thorntons",NA,"1","No",0.65
"FOO","SXM","442218","Thorntons Milk, Dark and White Chocolate StarCollection 176g","Thorntons","176g","1","No",0.65
"FOO","SXM","442220","Thorntons Reindeer Milk Chocolate Model 200g","Thorntons","200g","1","No",0.65
