"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Power","Model Number","DQ Score"
"SBK","DES","218370","Casio Electronic Calculator MX8B","Casio","Desk",NA,"Solar, Battery","MX8B",0.941666666666667
"SBK","DES","288795","Casio Calculator Scientific FX-83GT Plus","Casio",NA,"Multi","Battery",NA,0.883333333333333
