"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"CLE","LAU","414377","Dettol Wash Machine Cleaner Gel 250ml","Dettol","250ml","1",1
"CLE","SUR","275243","Dettol Floor Cleaning Wipes Green AppleExtra Large 15pk","Dettol","Extra Large","15pk",1
"CLE","SUR","281585","Dettol Antibacterial Cleansing Surface WipesLarge 36pk","Dettol","Large","36pk",1
"CLE","SUR","339710","Dettol Laundry Cleanser Fresh Cotton 1.5L","Dettol","1.5L","1",1
"CLE","SUR","412316","Dettol Surface Cleanser 750ml","Dettol","750ml","1",1
"CLE","SUR","412319","Dettol Power and Fresh Cleaner Apple 500ml","Dettol","500ml","1",1
"CLE","SUR","412325","Dettol Power and Fresh Wipes Citrus 80pk","Dettol","80 wipes","1",1
"CLE","SUR","412743","Dettol Antibacterial Cleansing Surface Wipes Limeand Mint 84pk","Dettol","84","84",1
"CLE","SUR","429804","Dettol Power and Fresh Sparkling Lemon and LimeBurst 1L","Dettol","1L","1",1
"CLE","SUR","429805","Dettol Power and Fresh Pomegranate and LimeSplash 1L","Dettol","1L","1",1
"CLE","SUR","429807","Dettol Disinfectant Crisp Linen 400ml","Dettol","400ml","1",1
"CLE","SUR","429808","Dettol Disinfectant Spray Orchard Blossom400ml","Dettol","400ml","1",1
"CLE","SUR","429814","Dettol Power and Fresh Pomegrante andLime Splash Wipes 80pk","Dettol","80 wipes","80",1
"CLE","SUR","451243","Dettol Power and Pure Bathroom TriggerSpray 1L","Dettol","13.1 X 7.6 X 28.5","1",0.95
"CLE","SUR","451244","Dettol Power And Pure Kitchen 1L","Dettol","13.1 X 7.6 X 28.5","1",0.95
"CLE","SUR","451247","Dettol Disinfectant Spray Jasmine 400ml","Dettol","400ml","1",0.95
"CLE","SUR","49990","Dettol Liquid Antiseptic Disinfectant 500ml","Dettol","500ml",NA,0.9125
"TOI","BAT","310013","Dettol Antibacterial Soap 2 x 100g","Dettol","2 x 100g","1",1
"TOI","BAT","324200","Dettol No Touch Handwash Refill, Odour Neutral250ml","Dettol","250ml",NA,0.9125
"TOI","BAT","324203","Dettol No Touch Handwash Unit with Cucumber Refill","Dettol","250ml",NA,0.9125
"TOI","BAT","407953","Dettol E45 No Touch Liquid Hand WashRose and Shea Butter 250ml","Dettol","250ml","1",1
"TOI","BAT","450303","Dettol E45 Rose and Shea Butter Liquid Hand Wash250ml","Dettol","250ml","1",0.95
"TOI","BAT","450305","Dettol E45 Liquid Hand Wash 250mlCamomile Antibacterial","Dettol","250ml","1",0.95
"TOI","BAT","450306","Dettol Liquid Hand Wash Lavender250ml","Dettol","250ml","1",0.95
"TOI","BAT","450308","Dettol Liquid Hand Wash 250mlGrapefruit","Dettol","250ml","1",0.95
