"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","QUI","339222","Silentnight Pillow Pair","Silentnight","2 Pack","White","1",NA,NA,NA,0.9
"HOM","QUI","423120","Silentnight Essential Single Duvet 10.5 Tog","Silentnight","Duvet - 135cm x 200cm",NA,"1","duvet is polyester microfibre",NA,"Wash at 40 Synth",0.95
"HOM","QUI","423121","Silentnight Essential Double Duvet 10.5 Tog","Silentnight","Duvet - 200cm x 200cm",NA,"1","duvet is polyester microfibre",NA,NA,0.9
"HOM","QUI","423122","Silentnight Essential King Size Duvet 10.5 Tog","Silentnight","Duvet - 225cm x 220cm",NA,"1","duvet is polyester microfibre",NA,NA,0.9
"HOM","QUI","425504","Silentnight Memory Foam Mattress Topper King","Silentnight","mattress topper - 152cm x 198cm",NA,NA,NA,"No",NA,0.883333333333333
"HOM","QUI","440687","Silentnight Deepsleep Pillow Pair 48 x 74cm","Silentnight",NA,NA,"1 pair",NA,NA,NA,0.8
"HOM","QUI","451199","Silentnight Deep Sleep Duvet Single 10.5Tog","Silentnight","200 x 135cm",NA,"1","Polyester Cotton",NA,"Wash at 40 Synth",0.95
"HOM","QUI","451200","Silentnight Deep Sleep Duvet Double 10.5Tog","Silentnight","200 x 200cm",NA,"1","Polyester Cotton",NA,"Wash at 40 Synth",0.95
"HOM","QUI","451201","Silentnight Deep Sleep Duvet King 10.5 Tog","Silentnight","220 x 225cm",NA,"1","Polyester Cotton",NA,"Wash at 40 Synth",0.95
"HOM","QUI","451202","Silentight Essentials Collection Memory FoamPillow","Silentnight","46 x 71cm",NA,"1","Polyester Microfibre",NA,"Spot Clean Only",0.9
"HOM","QUI","cm00101","Silentnight Pocket Snug Pillow","Silentnight","1 Pack","White","1",NA,NA,NA,0.9
"HOM","QUI","cm00111","Silentnight Sound Asleep Pillow","Silentnight","1 Pack","White","1",NA,NA,NA,0.9
