"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","XMS","443378","Jacob's Festive Bites Caddy 190g","United Biscuits","190g","1","No",0.6
"FOO","XMS","444134","Jacobs Cheeselets Caddy 280g","United Biscuits","280g","1","No",0.6
