"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Power","Age","DQ Score"
"SBK","PAR","441376","Avengers Plates 23cm 8pk","Avengers","Black","8",NA,"3 To 18",0.941666666666667
"SBK","PAR","441377","Avengers Plastic Cups 8pk","Avengers","Black","8",NA,"3 To 18",0.941666666666667
"SBK","PAR","441378","Avengers Napkins 20pk","Avengers","Black","20",NA,"3 To 18",0.941666666666667
"SBK","PAR","441379","Avengers Tablecover","Avengers","Black","1",NA,"3 To 18",0.941666666666667
"SBK","PAR","441380","Avengers Party Bags 6pk","Avengers","Black","6",NA,"3 To 18",0.941666666666667
"SBK","PAR","441381","Avengers Party Invitations 6pk","Avengers","Black","6",NA,"3 To 18",0.941666666666667
"TOY","ACT","408666","Marvel Avengers Titan Hero Series 12in FigureAssortment","Avengers","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","439630","Avengers Walkie Talkies","Avengers","Multi","1","3x AAA Batteries Included","3 Years +",1
"TOY","ACT","439971","Marvel Avengers Assemble Creepeez Assorted","Avengers","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","447533","Avengers Snap Band Assortment","Avengers","Multi","1",NA,"3 Years +",0.941666666666667
"TOY","ACT","450241","Avengers Mashems","Avengers","Multi","1",NA,"3 Years +",0.941666666666667
