"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Age","DQ Score"
"DIY","CYC","445324","Flite Panic BMX Bike Pink 20in Wheel","Flite","108cm x 20cm x 59cm","Pink","7 - 12 Years",1
"DIY","CYC","445325","Flite Panic BMX Bike Green, 20"" Wheel","Flite","108cm x 20cm x 59cm","Green","7 - 12 Years",1
"DIY","CYC","445327","Flite Panic Mag BMX Bike Pink, 20"" Wheel","Flite","108cm x 20cm x 59cm","Pink","7 - 12 Years",1
"DIY","CYC","445328","Flite Turbo Six Speed Full Suspension Junior BikeWhite/Green, 20"" Wheel","Flite","108cm x 20cm x 59cm","Green","7 - 12 Years",1
"DIY","CYC","445329","Flite Delta Trials Bike Blue, 24"" Wheel","Flite","130cm x 20cm x 76xm","Blue","8 - 12 Years",1
"DIY","CYC","445334","Flite Active Hardtail Mountain Bike Blue 20"" Wheel","Flite","130cm x 20cm x 76xm","Blue","12 Years +",1
"DIY","CYC","445335","Flite Active Hardtail Mountain Bike Purple18 Gears 26in Wheel","Flite","130cm x 20cm x 76xm","Purple","12 Years +",1
"DIY","CYC","445337","Flite Taser II Dual Suspension Mountain Bike Blackand Purple 18 Speed 26in Wheel","Flite","130cm x 20cm x 76xm","Black","12 Years +",1
"DIY","CYC","445338","Flite Phaser Dual Suspension Mountain Bike Black18 Gears 26in Wheel","Flite","130cm x 20cm x 76xm","Black","12 Years +",1
