"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Coverage","Age","Model Number","DQ Score"
"SBK","KID","448879","Disney Princess Complete Art Case","Disney","Assorted Sizes","Pink","1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","449340","Disney Princess Bumper Stationery Set","Disney",NA,"Pink","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","449341","Disney Princess Colour Your Own Totebag","Disney",NA,"Pink","1",NA,NA,NA,NA,"3+ Years",NA,1
"SBK","PAR","441364","Princess Plates 23cm 8pk","Disney",NA,"Pink","8",NA,NA,NA,NA,"3 To 18",NA,0.891666666666667
"SBK","PAR","441365","Princess Plastic Cup 8pk","Disney",NA,"Pink","8",NA,NA,NA,NA,"3 To 18",NA,0.891666666666667
"SBK","PAR","441366","Princess Napkins 20pk","Disney",NA,"Pink","20",NA,NA,NA,NA,"3 To 18",NA,0.891666666666667
"SBK","PAR","441367","Princess Tablecover","Disney",NA,"Pink","1",NA,NA,NA,NA,"3 To 18",NA,0.891666666666667
"SBK","PAR","441368","Princess Party Bags 6pk","Disney",NA,"Pink","6",NA,NA,NA,NA,"3 To 18",NA,0.891666666666667
"SBK","PAR","441369","Princess Party Invitations 6pk","Disney",NA,"Pink","6",NA,NA,NA,NA,"3 To 18",NA,0.891666666666667
"TOI","ACB","325536","Disney Princess Bath and Shower Bubbles 400ml","Disney",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","441277","Marvel Avengers Superhero Body Wash 400ml","Disney",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441278","Marvel Avengers Superhero 2in1 Shampoo andConditioner 400ml","Disney",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.81
"TOI","ACB","441744","Disney Frozen Detangling Hair Spritz 100ml","Disney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","441745","Disney Frozen Elsa Hair Brush","Disney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","441747","Disney Pixar Finding Dory Bath and Shower Bubbles400ml","Disney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","MED","345630","Elastoplast Disney Princess Plasters 16s","Disney",NA,NA,"16pk",NA,NA,NA,NA,NA,NA,0.9125
"TOY","FAN","345055","Disney Princess Bath Doll Assorted","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.9
"TOY","FAN","408611","Palace Pets Furry Tail Friends Assortment","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.85
"TOY","FAN","428516","Disney Princess Classic Fashion Doll Assorted","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.9
"TOY","FAN","439450","Disney Cinderella Twirling Skirt Doll","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.9
"TOY","FAN","439633","Disney Princess Microphone","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.9
"TOY","FAN","447531","Disney Princess Light Up Ball","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.9
"TOY","FAN","449840","Disney Princess Small Doll Assorted","Disney",NA,"Multi","1",NA,NA,NA,NA,"3 Years +",NA,0.9
"TOY","GIR","401401","Disney Sofia The First Royal Coach","Disney",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.85
