"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Assembly","DQ Score"
"HOM","FUR","440352","Monza Coffee Table Oak Effect","Monza","100cm x 60cm X 46cm","Wood","Yes",0.941666666666667
"HOM","FUR","440353","Monza Dining Set Oak Effect","Monza","60cm x 40cm x 45cm","Wood","Yes",0.941666666666667
"HOM","FUR","440354","Monza Dining Chairs Set of 2 Brown","Monza",NA,NA,NA,1
"HOM","FUR","440355","Monza Lamp Table Oak Effect","Monza","60cm x 40cm x 45cm","Wood","Yes",0.941666666666667
"HOM","FUR","440356","Monza Nest of 2 Tables Oak Effect","Monza",NA,"Wood","Yes",0.883333333333333
