"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Age","DQ Score"
"DIY","CYC","445343","Barracuda Icon Alloy 18 Speed Jump Bike White/Black, 24"" Wheel","Barracuda","130cm x 20cm x 76xm","White","12 Years +",1
"DIY","CYC","445345","Barracuda Lynx 18 Speed Dual Suspension Mountain Bike Pink/White, 24"" Wheel","Barracuda","130cm x 20cm x 76xm","Pink","12 Years +",1
"DIY","CYC","445348","Barracuda Draco 1 Mountain Bike Black/Blue, 20"" Wheel","Barracuda","130cm x 20cm x 76xm","Black","12 Years +",1
"DIY","CYC","445349","Barracuda Draco 1 Mountain Bike Black/Blue, 22"" Wheel","Barracuda","130cm x 20cm x 76xm","Black","12 Years +",1
"DIY","CYC","445350","Barracuda Draco 1 Mountain Bike Black/Blue, 15"" Wheel","Barracuda","130cm x 20cm x 76xm","Black","12 Years +",1
"DIY","CYC","445351","Barracuda Draco 1 Mountain Bike Black/Blue, 17"" Wheel","Barracuda","130cm x 20cm x 76xm","Black","12 Years +",1
"DIY","CYC","445360","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","130cm x 20cm x 76xm","Silver","12 Years +",1
"DIY","CYC","445361","Barracuda Liberty Trekking Bike Silver/Black, 21""Wheel","Barracuda","130cm x 20cm x 76xm","Silver","12 Years +",1
"DIY","CYC","445362","Barracuda Liberty Trekking Bike Silver/Black, 17""Wheel","Barracuda","130cm x 20cm x 76xm","Silver","12 Years +",1
"DIY","CYC","445363","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","130cm x 20cm x 76xm","Silver","12 Years +",1
"DIY","MOT","ml00282","Barracuda Radon Alloy Gents Mountain Bike Black","Barracuda","26in","Black","12+ years",0.95
"DIY","MOT","ml00286","Barracuda Vantos Flat Bar Road Bike Blue/White700c","Barracuda","700C","White","12+ years",0.95
