"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"KIT","ELE","441186","Quest Large Buffet Server and Warming Traywith 3 Compartments","Quest","14.5cm Long, 64cm Wide, 14.5cm High","Silver","1",NA,NA,"300W",NA,NA,"16510",1
"KIT","ELE","441189","Quest Double Insulated Catering Urn 10L","Quest","30cm Long, 30cm Wide, 50cm High","Silver","1",NA,NA,"1500w",NA,NA,"35510",1
"KIT","ELE","443598","Quest Multi Function Electric Cooker With Lid 1500W Non Stick 30cm","Quest","30cm",NA,NA,NA,NA,"1500W",NA,NA,"35411",0.883333333333333
"KIT","ELE","443820","Quest Electric Teppanyaki Grill 2000W","Quest",NA,NA,NA,NA,NA,"2000w",NA,NA,"35491",0.883333333333333
"KIT","ELE","457095","Quest Travel Kettle White 0.5L","Quest","0.5L","White",NA,NA,NA,"600w",NA,NA,"35440",1
"KIT","ELE","457096","Quest Travel Kettle Black 0.5L","Quest","0.5L","Black",NA,NA,NA,"600w",NA,NA,"35690",1
"KIT","ELE","457097","Quest Professional Hand Mixer Black 300w","Quest","300w","Black",NA,NA,NA,"300w","N/A",NA,"35810",1
"KIT","ELE","457098","Quest Professional Hand Mixer Red 300w","Quest","300w","Red",NA,NA,NA,"300w","N/A",NA,"35820",1
"KIT","ELE","457099","Quest LED Illuminated Kettle White","Quest",NA,"White",NA,NA,NA,"2200w",NA,NA,"35930",0.941666666666667
"KIT","ELE","457102","Quest Deep Fill Sandwich Maker","Quest",NA,NA,NA,NA,NA,"900w",NA,NA,"35630",0.883333333333333
"KIT","ELE","457103","Quest Digital Inducion Hob Single","Quest",NA,NA,NA,NA,NA,"2000w",NA,NA,"35830",0.883333333333333
"KIT","ELE","457104","Quest Digital Induction Hob Double","Quest",NA,NA,"1","Metal","No","2800w","N/A","N/A","35840",0.65
"KIT","ELE","457105","Quest Multifunction Cooker 40cm","Quest","40cm",NA,NA,NA,NA,"1500w",NA,NA,"35500",0.941666666666667
"KIT","ELE","457175","Quest 2-in-1 Steam Brush 650w","Quest",NA,NA,NA,NA,NA,"650-750w",NA,NA,"42180",0.883333333333333
"KIT","ELE","457176","Quest Portable Garment Steamer 800w","Quest",NA,NA,NA,NA,NA,"800w",NA,NA,"42140",0.883333333333333
"KIT","ELE","457177","Quest Upright Garment Steamer 1800w","Quest",NA,NA,NA,NA,NA,"1800w",NA,NA,"42320",0.883333333333333
"KIT","ELE","457178","Quest Clothes Airer Electric Heated 6 Bars","Quest",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","ELE","457179","Quest Clothes Airer Electric Heated 18 Bars","Quest",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","ELE","457180","Quest Steam Cleaner Hand Held 250ml","Quest",NA,NA,"1","Plastic","No","1000w","250ml","N/A","41980",0.65
"KIT","ELE","457181","Quest Steam Cleaner Hand Held 250ml","Quest",NA,NA,"1","Plastic",NA,NA,NA,NA,NA,0.883333333333333
"KIT","ELE","457182","Quest 12 in 1 Steam Cleaner Mop 1300w","Quest",NA,NA,"1","Plastic",NA,NA,NA,NA,NA,0.883333333333333
