"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Capacity","DQ Score"
"TOI","DEN","191872","Oral-B Precision Clean Replacements Brush Heads2pk","Oral B","One Size",NA,"1","No",NA,NA,0.6
"TOI","DEN","207219","Oral- B  Precison Clean Replacement Brush Heads4pk","Oral B",NA,NA,"4","No",NA,NA,0.6
"TOI","DEN","270547","Oral B Vitality Toothbrush Precision Clean","Oral B","One Size",NA,NA,"No","Battery",NA,0.65
"TOI","DEN","293473","Oral-B Pro Expert Pulsar Toothbrush Medium 1pk","Oral B","Medium",NA,NA,"No",NA,NA,0.6
"TOI","DEN","293474","Oral- B  Complete Mouthwash Alcohol Free 500ml","Oral B","500ml","Multi","1","No",NA,NA,0.6
"TOI","DEN","307772","Oral- B Toothpaste  1 2 3 100ml","Oral B","100ml","Multi",NA,"No",NA,NA,0.6
"TOI","DEN","307773","Oral B Complete Fresh Refreshing Clean Toothpaste100ml","Oral B","100ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","307781","Oral B Complete Fresh Long Lasting FreshToothpaste 100ml","Oral B","100ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","307784","Oral- B Toothpaste Pro Expert Whitening  Mint 75ml","Oral B","75ml","Multi","1","No",NA,NA,0.6
"TOI","DEN","307785","Oral- B Toothpaste Pro Expert Professional ProtectClean Mint 75ml","Oral B","75ml","Multi","1","No",NA,NA,0.6
"TOI","DEN","307788","Oral-B Toothpaste Pro-Expert Sensitive  and GentleWhitening Mint 75ml","Oral B","75ml","Multi","1","No",NA,NA,0.6
"TOI","DEN","321615","Oral-B  Electric Toothbrush PRO600 Cross Action","Oral B","One Size",NA,NA,"No",NA,NA,0.6
"TOI","DEN","338368","Oral-B  Electric Toothbrush PRO600 White and Clean","Oral B",NA,NA,"1","No","Mains, Battery",NA,0.6
"TOI","DEN","339396","Oral-B Mouthwash Pro Expert ProfessionalProtection 500ml","Oral B","500ml","Multi","1","No",NA,NA,0.6
"TOI","DEN","341097","Oral-B Toothbrush Classic Care Medium40 2pk","Oral B",NA,NA,NA,"No",NA,NA,0.6
"TOI","DEN","352447","Oral-B Toothbrush 123 Indicator Medium 35 1pk","Oral B",NA,"Multi","1","No",NA,NA,0.6
"TOI","DEN","402813","Oral-B Pro 2000  Electric Toothbrush 3D Action","Oral B",NA,NA,"1","No",NA,NA,0.6
"TOI","DEN","418262","Oral-B Replacement Brush Heads CrossAction 4pk","Oral B",NA,NA,"4","No",NA,NA,0.6
"TOI","DEN","418263","Oral-B Replacement Brush Heads Cross Action 2pk","Oral B",NA,NA,"2pk","No",NA,NA,0.6
"TOI","DEN","437532","Oral- B  Toothpaste 3D White Luxe Perfection 75ml","Oral B","75ml",NA,"1","No",NA,NA,0.6
"TOI","DEN","437533","Oral- B 3D White Brilliance 40 Medium 1pk","Oral B",NA,NA,"1","No",NA,NA,0.6
"TOI","DEN","437534","Oral- B Mouthwash 3DW Luxe Rinse 500ml","Oral B","500ml",NA,"1","No",NA,NA,0.6
"TOI","DEN","437537","Oral- B Kids Toothpaste Frozen Stages 75ml","Oral B","75ml",NA,"1","No",NA,NA,0.55
"TOI","DEN","437538","Oral-B Kids Toothbrush Manual Frozen 1pk","Oral B",NA,NA,"1","No",NA,NA,0.6
"TOI","DEN","447284","Oral B Power Handle ToothbrushPro 650 Cross Action","Oral B",NA,NA,NA,NA,NA,NA,0.716666666666667
"TOI","DEN","447670","Oral-B Kids Toothbrush Frozen Battery Operated","Oral B",NA,NA,"1","No",NA,NA,0.6
"TOI","DEN","456354","Oral B 3D White Arctic Fresh Toothpaste 75ml","Oral B",NA,NA,"1","No",NA,"75ml",0.65
"TOI","DEN","456355","Oral B 3D White Vitalising Fresh Toothpaste 75ml","Oral B",NA,NA,"1","No",NA,"75ml",0.65
"TOI","DEN","456356","Oral B 3D White Luxe Glam White Toothpaste 75ml","Oral B",NA,NA,"1","No",NA,"75ml",0.65
"TOI","DEN","456717","Oral B Anti Plaque Toothbrush Medium 40","Oral B",NA,NA,"1","No",NA,NA,0.65
