"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","SUN","451133","Banana Boat Aloe Vera Gel 230g","Banana Boat","1",0.9125
"TOI","TRA","451130","Banana Boat Baby Sun Protection LotionSPF 50 60ml","Banana Boat","1",0.9125
