"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"TOI","DEN","267136","Arm and Hammer Toothpaste Advance White 75ml","Arm & Hammer","75ml","Multi","1","No",0.6
"TOI","DEN","320814","Arm & Hammer Toothpaste Pro Enamel Sensitive75ml","Arm & Hammer","75ml","Multi","1","No",0.65
