"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"SES","GFN","436187","Sorrento Rectangular Recliner Taupe 8 Piece Set","Amir","Table 74x160x94, Chair 108x61x69, Parasol 300x300","8pc","Powder Coated Steel","Yes",0.6
"SES","GFN","436188","Sorrento Companion Seat Taupe","Amir","95x155x70","1","Powder Coated Steel","Yes",0.6
"SES","GFN","436189","Sorrento Wheeled Sun Lounger Taupe","Amir","103x72x133",NA,NA,NA,0.8625
