"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","DQ Score"
"HOM","LIG","453158","Eric Light Shade 30.5cm","Lighting and Interiors Group","30.5cm bottom diameter, 20cm high",NA,"1",NA,NA,0.88
"HOM","LIG","453159","Emilio Pendant Shade Chrome","Lighting and Interiors Group","24.5cm bottom diameter, 16cm high",NA,"1",NA,NA,0.88
"HOM","LIG","453160","Emilio Pendant Shade Copper Finish","Lighting and Interiors Group","24.5cm bottom diameter, 16cm high",NA,"1",NA,NA,0.88
"HOM","LIG","453163","Maya Table Lamp Mirror Crackle and Chrome EffectBase","Lighting and Interiors Group","Overall height 57cm, width at widest point 41cm",NA,"1","No",NA,0.85
"HOM","LIG","453164","Maya Floor Lamp Crackle","Lighting and Interiors Group","Overall height 156.5cm, width at widest point 40cm",NA,"1","No",NA,0.85
"HOM","LIG","453165","Vintage Floor Lamp Grey","Lighting and Interiors Group","Overall height 167cm. Width and height adjustable",NA,"1","No",NA,0.85
"HOM","LIG","453167","Vintage Floor Lamp Cream","Lighting and Interiors Group","Overall height 167cm. Width and height adjustable",NA,"1","No",NA,0.85
"HOM","LIG","453168","Nicholas Table Lamp Antique Brass","Lighting and Interiors Group","Overall height 57.5cm, width at widest point 35cm",NA,"1","No",NA,0.85
"HOM","LIG","453171","Grantham Floor Lamp Satin Nickel","Lighting and Interiors Group","Overall height 158cm, width at widest point 45cm",NA,"1","No",NA,0.85
"HOM","LIG","453172","Grantham Floor Lamp Antique Brass","Lighting and Interiors Group","Overall height 158cm, width at widest point 45cm",NA,"1","No",NA,0.85
"HOM","LIG","453173","Sven Floor Lamp Grey","Lighting and Interiors Group","Overall height 156cm, adjustable width",NA,"1","No",NA,0.85
"HOM","LIG","453174","Medina Touch Table Lamp Hammered ChromeEffect Finish","Lighting and Interiors Group","Overall height 45cm, width at widest point 30cm",NA,"1","No",NA,0.85
"HOM","LIG","453175","Jodrell Ceiling Fitting Chrome","Lighting and Interiors Group","Shade dimensions 30cm high, 35cm wide. 80cm adjust",NA,"1","No",NA,0.85
"HOM","LIG","453176","Aslan Table Lamp Blue and White","Lighting and Interiors Group","Overall height 68.5cm, width at widest point 38cm",NA,"1","No",NA,0.85
"HOM","LIG","453177","Thistle Table Lamp Sage Green","Lighting and Interiors Group","Overall height 68.5cm, width at widest point 40.5c",NA,"1","No",NA,0.85
"HOM","LIG","453178","Vienna Floor Lamp Satin Chrome Effect Base","Lighting and Interiors Group","Overall height 167cm, width at widest point 41cm",NA,"1","No",NA,0.85
"HOM","LIG","453179","Iris Floor Lamp Antique Brass","Lighting and Interiors Group","Overall height 160cm, width at widest point 28cm",NA,"1","No",NA,0.85
"HOM","LIG","453186","Acrylic Petal Floor Lamp White/Chrome","Lighting and Interiors Group","Overall height 158cm, width at widest point 42cm",NA,"1","No",NA,0.85
"HOM","LIG","am00036","Nelson Floor Lamp Satin Chrome","Lighting and Interiors Group","Single","Metal","1","Yes","Mains",0.95
"HOM","LIG","am00063","Nottingham 5 Light Fitting Antique Brass","Lighting and Interiors Group",NA,"Gold","1","Yes","230-240V",0.9
