"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Power","Capacity","Coverage","Age","DQ Score"
"PET","CAT","278722","Dreamies Cat Treats Salmon 60g","Dreamies","60g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","278723","Dreamies Cat Treats Chicken 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,0.93
"PET","CAT","286523","Dreamies Cat Treats Beef 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","286524","Dreamies Cat Treats Cheese 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","303789","Dreamies Cat Treats Duck 60g","Dreamies","60g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","315451","Dreamies Cat Treats Chicken and Duck 60g","Dreamies","60g",NA,NA,NA,NA,NA,NA,0.9125
"PET","CAT","315452","Dreamies Cat Treats Turkey 60g","Dreamies","60g","1","No","N/A","N/A","N/A","N/A",0.65
"PET","CAT","412797","Dreamies Cat Treats Beef and Cheese Mix 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","431585","Dreamies Cat Treats Tuna 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,0.95
"PET","CAT","437718","Dreamies Cat Treats Cheese Mega Pack 180g","Dreamies","180g","180g",NA,NA,NA,NA,NA,1
"PET","CAT","437719","Dreamies Cat Treats Chicken Mega Pack 180g","Dreamies",NA,"180g",NA,NA,NA,NA,NA,0.9125
"PET","CAT","440893","Dreamies Cat Treats Snacky Mouse 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","449951","Dreamies Cat Treats Extra Crunch with Chicken 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","449952","Dreamies Cat Treats Extra Crunch with Salmon 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","449953","Dreamies Cat Treats Extra Crunch with Cheese 60g","Dreamies","60g","1",NA,NA,NA,NA,NA,1
"PET","CAT","456430","Dreamies Cat Treats Salmon Mega Pack 180g","Dreamies",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","CAT","456431","Dreamies Cat Treats Tuna Mega Pack 180g","Dreamies",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","CAT","456432","Dreamies Cat Treats Turkey Mega Pack 180g","Dreamies",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","CAT","457336","Dreamies Deli-Catz Treats With Turkey 5x5g","Dreamies","5x5g","5",NA,NA,NA,NA,NA,1
"PET","CAT","457337","Dreamies Deli-Catz Treats With Chicken 5x5g","Dreamies","5x5g","5",NA,NA,NA,NA,NA,1
"PET","CAT","457338","Dreamies Deli-Catz Treats With Beef 5x5g","Dreamies","5x5g","5",NA,NA,NA,NA,NA,1
"PET","SPC","444912","Dreamies Cat Treats Gift Tin 10 x 30g","Dreamies",NA,"1","No",NA,NA,NA,NA,0.65
