"PSA_1","PSA_2","Article","Web Description","Brand","Size","Assembly","DQ Score"
"FOO","XMS","271227","Campbells Gold Assorted Shortbread 150g","Campbells","150g","No",0.65
"FOO","XMS","443816","Campbells Shortbread Collection 210g","Campbells","210g","No",0.65
"FOO","XMS","443817","Campbells Highland Shortbread 300g","Campbells","300g","No",0.65
"FOO","XMS","443819","Campbells Lone Piper Petticoat Tails 125g","Campbells","125g","No",0.65
