"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"PET","100","303770","Mr. Johnsons Chick Crumb Free Range 5kg","Mr Johnsons","5kg","1",0.95
"PET","100","314240","Mr Johnsons Natural Layers Animal Pellets 20kg","Mr Johnsons","20kg",NA,0.9125
"PET","100","314654","Mr. Johnsons Love Your Baby Pet Rabbit Jasper 1kg","Mr Johnsons","1kg","1",0.95
"PET","100","314655","Mr. Johnsons Love Your Pet Hamster and Gerbil Amos1kg","Mr Johnsons","1kg",NA,0.8625
"PET","100","314658","Mr. Johnsons Love Your Pet Chinchilla 1.5kg","Mr Johnsons","1.5kg","1",0.95
"PET","SMA","346561","Mr Johnsons Ferret Food  2kg","Mr Johnsons","2kg",NA,0.9125
"PET","WIL","303768","Mr Johnsons Premium Poultry Mixed Corn 5kg","Mr Johnsons","5kg",NA,0.9125
"PET","WIL","303771","Mr Johnsons Natural Layers Pellets 5kg","Mr Johnsons","5kg",NA,0.9125
"PET","WIL","443546","Mr Johnsons Wildlife Hedgehog Food 750g","Mr Johnsons","750g","1",1
"PET","WIL","443547","Mr Johnsons Swan Duck and Goose Food 750g","Mr Johnsons","750g","1",1
