"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"PAI","CRO","434566","Crown Silk Emulsion PaintSweet Dreams 2.5L","Crown","2.5L","Purple","1",NA,NA,"35 Square metres",1
"PAI","CRO","434567","Crown Silk Emulsion PaintToasted Almond 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434568","Crown Silk Emulsion PaintWheatgrass 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434594","Crown Matt Emulsion PaintAntique Cream 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434595","Crown Matt Emulsion PaintBeige White 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434596","Crown Matt Emulsion PaintBotanical Extract 2.5L","Crown","2.5L","Green","1",NA,NA,"35 Square metres",1
"PAI","CRO","434600","Crown Matt Emulsion PaintChoc Chip 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434601","Crown Matt Emulsion PaintCity Break 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434602","Crown Matt Emulsion PaintClay White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434603","Crown Matt Emulsion PaintCloud Burst 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434604","Crown Matt Emulsion PaintCover Story 2.5L","Crown","2.5L","Purple","1",NA,NA,"35 Square metres",1
"PAI","CRO","434605","Crown Matt Emulsion PaintCream White 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434607","Crown Matt Emulsion PaintCrushed Chocolate 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434609","Crown Matt Emulsion PaintDelicate Cream 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434610","Crown Matt Emulsion PaintDream White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434611","Crown Matt Emulsion PaintDuck Egg 2.5L","Crown","2.5L","Blue","1",NA,NA,"35 Square metres",1
"PAI","CRO","434612","Crown Matt Emulsion PaintEnglish Fire 2.5L","Crown","2.5L","Red","1",NA,NA,"35 Square metres",1
"PAI","CRO","434613","Crown Matt Emulsion PaintEnglish Muffin 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
