"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"FOO","CHO","209529","Quality Street Matchmakers Cool Mint 130g","Nestle","130g",NA,"1","No",0.6
"FOO","CHO","258101","Nestle Dairy Box 180g","Nestle","180g",NA,"1","No",0.65
"FOO","CHO","282623","Nestle Black Magic Chocolates 174g","Nestle",NA,NA,"1","No",0.65
"FOO","CHO","437720","Quality Street Carton 265g","Nestle","265g",NA,"1","No",0.6
"FOO","CHO","444452","After Eight 300g","Nestle","300g",NA,"1","No",0.6
"FOO","SXM","146347","Rowntrees Jelly Tots Tube 130g","Nestle","130g",NA,"1","No",0.6
"FOO","SXM","192883","Nestle Little Rolo Tube 100g","Nestle","100g",NA,"1","No",0.65
"FOO","SXM","258104","Nestle Milkybar Buttons Tube 100g","Nestle","100g",NA,"1","No",0.65
"FOO","SXM","258110","Milkybar Advent Calendar 85g","Nestle","85g",NA,"1","No",0.6
"FOO","SXM","270916","Nestle Smarties Tube Pink 150g","Nestle","150g","Pink","1","No",0.65
"FOO","SXM","270917","Nestle Smarties Tube 150g","Nestle","150g",NA,"1","No",0.65
"FOO","SXM","270947","Nestles Milkybar Selection Pack 64g","Nestle","64g",NA,NA,"No",0.65
"FOO","SXM","309895","Quality Street Matchmakers Zingy Orange 130g","Nestle","130g",NA,"1","No",0.6
"FOO","SXM","338723","Quality Street Purely Purple Ones 350g","Nestle","350g",NA,"1","No",0.6
"FOO","SXM","338782","Smarties Little Chocolate Penguin 21g","Nestle","21g",NA,"1","No",0.6
"FOO","SXM","338783","Milkybar Polar Bear 25g","Nestle","25g",NA,"1","No",0.6
"FOO","SXM","404799","Quality Street Giant Strawberry","Nestle",NA,NA,"1","No",0.6
"FOO","SXM","424319","Nestle Munchies Tube 100g","Nestle","100g",NA,"1","No",0.65
"FOO","SXM","424320","Smarties Festive Block 120g","Nestle","100g",NA,"1","No",0.6
"FOO","SXM","424324","After Eight Straws 110g","Nestle",NA,NA,"1","No",0.6
"FOO","SXM","441891","Kit Kat Bus Tin","Nestle",NA,NA,"1","No",0.6
"FOO","SXM","441892","After Eight Tin 400g","Nestle","200g",NA,"2","No",0.6
"FOO","SXM","441894","Smarties Penguin 120g","Nestle","120g",NA,"1","No",0.6
"FOO","SXM","441895","Milkybar Polar Bear 120g","Nestle","120g",NA,"1","No",0.6
