"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","DQ Score"
"KIT","BAP","451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft",NA,NA,"2",NA,0.81
"KIT","BAP","451709","Kitchen Kraft Ribbons Assorted 5pk","Kitchen Kraft",NA,NA,"5",NA,0.86
"KIT","BAP","451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft",NA,NA,"1pk",NA,0.81
"KIT","BAP","451713","Kitchen Craft Jam Jar Gift Tags Home Made Slogan24pk","Kitchen Kraft","24 Pack",NA,"1",NA,0.95
"KIT","BAP","451715","Kitchen Craft Home Made Self-Adhesive Chutney JarLabels Roll of 100","Kitchen Kraft","100 Pack",NA,"1",NA,0.88
"KIT","BAP","451716","Kitchen Craft Self Adhesive Jam Jar Labels Pack of100 Assorted","Kitchen Kraft","100 Pack",NA,"1",NA,0.95
"KIT","BAP","453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft",NA,NA,"1",NA,0.81
"KIT","DIN","447385","Kitchen Craft Slate and Wood Serving Stand 2 Tier","Kitchen Kraft","Size of platters: 36cm x 14cm 36cm x 24cm","Multi","1","N/A",0.9
"KIT","MUG","447391","Le'Xpress Infuser Teapot Stainless Steel and Glass","Kitchen Kraft","9.5 x 15 x 20cm",NA,"1",NA,0.88
"KIT","MUG","447394","Le'Xpress Espresso Maker Italian Style 6 Cup","Kitchen Kraft","6 Cup",NA,"1",NA,0.88
