"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"HOM","FUR","p200017","Soho Dining Set Oak","Soho","T 75cm, C 85x47x51cm","Wood","Oak Veneer","Yes",1
"HOM","FUR","p200018","Soho Dining Set White","Soho","T 75cm, C 85x47x51cm","White","Wood","Yes",1
