"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"CLE","SUR","173301","OzKleen Bath Power Bathroom Cleaner 500ml","Oz Kleen","500ml",0.8625
"CLE","SUR","215640","OzKleen Carpet Power Stain Remover 500ml","Oz Kleen","500ml",0.8625
