"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"TOI","FAC","207774","L'Oreal Paris Revitalift Anti Wrinkle Firming DayCream 50ml","L'Oreal","50ml",NA,NA,NA,0.9125
"TOI","FAC","207775","L'Oreal Paris Age Perfect Rehydrating Day Cream50ml","L'Oreal","50ml",NA,"1",NA,1
"TOI","FAC","207779","L'Oreal Paris Revitalift Anti Wrinkle Night Cream 50ml","L'Oreal","50ml",NA,NA,NA,0.9125
"TOI","FAC","207782","L'Oreal Paris Age Perfect Hydrating Night Cream50ml","L'Oreal","50ml",NA,NA,NA,0.9125
"TOI","FAC","295311","L'Oreal Paris Triple Active Day MoisturiserNormal to Combination Skin 50ml","L'Oreal","50ml",NA,NA,NA,0.9125
"TOI","FAC","295312","L'Oreal Paris Triple Active Day Moisturiser Dryand Sensitive Skin 50ml","L'Oreal","50ml",NA,NA,NA,0.9125
"TOI","FAC","310862","L'Oreal Paris Age Perfect Cleansing Milk 200ml","L'Oreal","200ml",NA,NA,NA,0.9125
"TOI","FAC","310863","L'Oreal Paris Age Perfect Refreshing Toner 200ml","L'Oreal","200ml",NA,NA,NA,0.9125
"TOI","FAC","310864","L'Oreal Paris Age Perfect Cleansing Wipes x25","L'Oreal",NA,NA,"1",NA,0.9125
"TOI","FAC","310866","L'Oreal Paris Triple Active Day Moisturiser VeryDry Skin 50ml","L'Oreal","50ml",NA,NA,NA,0.9125
"TOI","FAC","331996","L'Oreal Paris Triple Active Night Cream 50ml","L'Oreal","50ml",NA,"1",NA,1
"TOI","FAC","342089","L'Oreal Paris Revitalift Anti Wrinkle Day CreamSPF 30 50ml","L'Oreal","50ml",NA,"1",NA,1
"TOI","FAC","403725","L'Oreal Paris Revitalift Magic Blur Anti AgeingMoisturiser 50ml","L'Oreal","50ml",NA,"1",NA,1
"TOI","FAC","433659","L'Oreal Paris Anti-Wrinkle Expert Hydrating Cream35+ 50ml","L'Oreal","50ml",NA,"1",NA,1
"TOI","FAC","433660","L'Oreal Paris Anti-Wrinkle Expert Firming Cream45+ 50ml","L'Oreal","50ml",NA,"1",NA,1
"TOI","FAC","433661","L'Oreal Paris Anti Wrinkle Expert Restoring Cream55+ 50ml ","L'Oreal","50ml",NA,"1",NA,1
"TOI","HAI","116972","L'Oreal Preference Les Blondissimes 01 LightestNatural Blonde Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,0.93
"TOI","HAI","116975","L'Oreal Preference Les Blondissimes 03 LightestAsh Blonde Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,0.93
"TOI","HAI","125974","L'Oreal Preference Infinia 7.3 Florida HoneyBlonde Permanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,0.93
"TOI","HAI","152488","L'Oreal Excellence Creme 8 Natural BlondePermanent Hair Dye","L'Oreal",NA,"Blonde","1",NA,0.93
"TOI","HAI","240168","L'Oreal Preference Infinia 3.66 Dark RedPermanent Hair Dye","L'Oreal",NA,"Red","1",NA,0.93
"TOI","HAI","258472","L'Oreal Casting Creme Gloss 415 Iced ChocolateBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.93
"TOI","HAI","258481","L'Oreal Casting Creme Gloss 500 Medium Brown SemiPermanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.93
"TOI","HAI","258482","L'Oreal Casting Creme Gloss 600 Light Brown SemiPermanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.93
"TOI","HAI","258483","L'Oreal Casting Creme Gloss 550 Mahogany SemiPermanent Hair Dye","L'Oreal",NA,"Red","1",NA,0.93
"TOI","HAI","258484","L'Oreal Casting Creme Gloss 515 Chocolate TruffleBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.93
"TOI","HAI","258486","L'Oreal Casting Creme Gloss 535 Chocolate BrownSemi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.93
"TOI","HAI","331657","L'Oreal Casting Creme Gloss 554 Chilli ChocolateBrown Semi Permanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.88
"TOI","HAI","331738","L'Oreal Casting Creme Gloss 400 Dark Brown SemiPermanent Hair Dye","L'Oreal",NA,"Brown","1",NA,0.93
"TOI","HAI","331739","L'Oreal Casting Creme Gloss 200 Ebony Black SemiPermanent Hair Dye","L'Oreal",NA,"Black","1",NA,0.93
"TOI","HAI","331748","L'Oreal Preference Platinum Extreme PlatinumBlonde Permanent Hair Dye","L'Oreal",NA,"Metal","1",NA,0.88
